# Name; SpTy; SpTyNum; Teff; Mstar_b15+mesa; Mstar_ll; Mstar_ul; Mstar_b98+mesa; Mstar_b98_ll; Mstar_b98_ul; LogLstar_b15+mesa; LogLstar_ll; LogLstar_ul; LogLstar_b98+mesa; LogLstar_b98_ll; LogLstar_b98_ul
Haro 6-13;M0;50.0;3898.2856475746157;0.5891377023908904;0.5302142896958486;0.6311896222507183;1.067460691054817;0.9623320581831989;1.1231033379478494;-0.2999848764319676;-0.372079044479558;-0.25227864993002025;0.021602749661290215;-0.05478086509891881;0.06555972676172545
FZ Tau;M0;50.0;3898.2856475746157;0.5891377023908904;0.5302142896958486;0.6311896222507183;1.067460691054817;0.9623320581831989;1.1231033379478494;-0.2999848764319676;-0.372079044479558;-0.25227864993002025;0.021602749661290215;-0.05478086509891881;0.06555972676172545
IRAS 04301+2608;M0;50.0;3898.2856475746157;0.5891377023908904;0.5302142896958486;0.6311896222507183;1.067460691054817;0.9623320581831989;1.1231033379478494;-0.2999848764319676;-0.372079044479558;-0.25227864993002025;0.021602749661290215;-0.05478086509891881;0.06555972676172545
IS Tau A;M0;50.0;3898.2856475746157;0.5891377023908904;0.5302142896958486;0.6311896222507183;1.067460691054817;0.9623320581831989;1.1231033379478494;-0.2999848764319676;-0.372079044479558;-0.25227864993002025;0.021602749661290215;-0.05478086509891881;0.06555972676172545
DN Tau;M0;50.0;3898.2856475746157;0.5891377023908904;0.5302142896958486;0.6311896222507183;1.067460691054817;0.9623320581831989;1.1231033379478494;-0.2999848764319676;-0.372079044479558;-0.25227864993002025;0.021602749661290215;-0.05478086509891881;0.06555972676172545
DO Tau;M0;50.0;3898.2856475746157;0.5891377023908904;0.5302142896958486;0.6311896222507183;1.067460691054817;0.9623320581831989;1.1231033379478494;-0.2999848764319676;-0.372079044479558;-0.25227864993002025;0.021602749661290215;-0.05478086509891881;0.06555972676172545
IRAS 04385+2550;M0;50.0;3898.2856475746157;0.5891377023908904;0.5302142896958486;0.6311896222507183;1.067460691054817;0.9623320581831989;1.1231033379478494;-0.2999848764319676;-0.372079044479558;-0.25227864993002025;0.021602749661290215;-0.05478086509891881;0.06555972676172545
GO Tau;M0;50.0;3898.2856475746157;0.5891377023908904;0.5302142896958486;0.6311896222507183;1.067460691054817;0.9623320581831989;1.1231033379478494;-0.2999848764319676;-0.372079044479558;-0.25227864993002025;0.021602749661290215;-0.05478086509891881;0.06555972676172545
UY Aur A;M0;50.0;3898.2856475746157;0.5891377023908904;0.5302142896958486;0.6311896222507183;1.067460691054817;0.9623320581831989;1.1231033379478494;-0.2999848764319676;-0.372079044479558;-0.25227864993002025;0.021602749661290215;-0.05478086509891881;0.06555972676172545
IQ Tau;M0.5;50.5;3815.155234553037;0.5302142896958486;0.4692901223702454;0.5891377023908904;0.9623320581831989;0.8227769632362544;1.067460691054817;-0.372079044479558;-0.45400399419814497;-0.2999848764319676;-0.05478086509891881;-0.15458091991776285;0.021602749661290215
HK Tau A;M0.5;50.5;3815.155234553037;0.5302142896958486;0.4692901223702454;0.5891377023908904;0.9623320581831989;0.8227769632362544;1.067460691054817;-0.372079044479558;-0.45400399419814497;-0.2999848764319676;-0.05478086509891881;-0.15458091991776285;0.021602749661290215
V710 Tau A;M0.5;50.5;3815.155234553037;0.5302142896958486;0.4692901223702454;0.5891377023908904;0.9623320581831989;0.8227769632362544;1.067460691054817;-0.372079044479558;-0.45400399419814497;-0.2999848764319676;-0.05478086509891881;-0.15458091991776285;0.021602749661290215
HO Tau;M0.5;50.5;3815.155234553037;0.5302142896958486;0.4692901223702454;0.5891377023908904;0.9623320581831989;0.8227769632362544;1.067460691054817;-0.372079044479558;-0.45400399419814497;-0.2999848764319676;-0.05478086509891881;-0.15458091991776285;0.021602749661290215
UZ Tau Eab;M1;51.0;3721.9007291203648;0.4692901223702454;0.4179267705409381;0.5302142896958486;0.8227769632362544;0.6893764146037984;0.9623320581831989;-0.45400399419814497;-0.5297718855711128;-0.372079044479558;-0.15458091991776285;-0.2576315050202225;-0.05478086509891881
J04202144+2813491;M1;51.0;3721.9007291203648;0.4692901223702454;0.4179267705409381;0.5302142896958486;0.8227769632362544;0.6893764146037984;0.9623320581831989;-0.45400399419814497;-0.5297718855711128;-0.372079044479558;-0.15458091991776285;-0.2576315050202225;-0.05478086509891881
DE Tau;M1;51.0;3721.9007291203648;0.4692901223702454;0.4179267705409381;0.5302142896958486;0.8227769632362544;0.6893764146037984;0.9623320581831989;-0.45400399419814497;-0.5297718855711128;-0.372079044479558;-0.15458091991776285;-0.2576315050202225;-0.05478086509891881
IRAS 04196+2638;M1;51.0;3721.9007291203648;0.4692901223702454;0.4179267705409381;0.5302142896958486;0.8227769632362544;0.6893764146037984;0.9623320581831989;-0.45400399419814497;-0.5297718855711128;-0.372079044479558;-0.15458091991776285;-0.2576315050202225;-0.05478086509891881
DH Tau A;M1;51.0;3721.9007291203648;0.4692901223702454;0.4179267705409381;0.5302142896958486;0.8227769632362544;0.6893764146037984;0.9623320581831989;-0.45400399419814497;-0.5297718855711128;-0.372079044479558;-0.15458091991776285;-0.2576315050202225;-0.05478086509891881
FX Tau A;M1;51.0;3721.9007291203648;0.4692901223702454;0.4179267705409381;0.5302142896958486;0.8227769632362544;0.6893764146037984;0.9623320581831989;-0.45400399419814497;-0.5297718855711128;-0.372079044479558;-0.15458091991776285;-0.2576315050202225;-0.05478086509891881
