,NAME,BEST_HYP,BEST_PROB
220,Haro 5-36,FIELD,1.0
221,V* V608 Ori,FIELD,1.0
222,2MASS J05380097-0226079,FIELD,1.0
223,Kiso A-0904 67,FIELD,1.0
224,2MASS J05381824-0248143,FIELD,1.0
225,[W96] rJ053820-0234,FIELD,1.0
226,V* V2725 Ori,FIELD,1.0
227,V* V2728 Ori,FIELD,0.9999999999998899
228,[BNM2013] 93.03 227,FIELD,1.0
229,V* V505 Ori,FIELD,1.0
230,Kiso A-0976 329,FIELD,1.0
231,Haro 5-9,FIELD,1.0
232,V* TX Ori,FIELD,0.999999999992486
233,[W96] rJ053833-0236,FIELD,0.9999999999999991
234,[BNM2013] 93.03 29,FIELD,1.0
235,V* TY Ori,FIELD,1.0
236,[W96] 4771-1147,FIELD,1.0
237,2MASS J05383902-0245321,FIELD,1.0
238,Haro 5-13,FIELD,1.0
239,2MASS J05384053-0233275,FIELD,1.0
240,[BNM2013] 92.01 24,FIELD,1.0
241,[W96] 4771-1051,FIELD,1.0
242,2MASS J05384448-0240376,FIELD,0.9999999999985274
243,V* V595 Ori A or,FIELD,1.0
244,2MASS J05384755-0227120,FIELD,1.0
245,[BZR99] S Ori 15,FIELD,1.0
246,2MASS J05384818-0244007,FIELD,1.0
247,V* V2737 Ori,FIELD,0.9999999999999822
248,[BNM2013] 92.01 11,FIELD,0.9999999999469171
249,2MASS J05385060-0242429,FIELD,1.0
250,V* RU Ori,FIELD,1.0
251,2MASS J05385831-0216101,FIELD,1.0
252,Haro 5-18,FIELD,1.0
253,Haro 5-16,FIELD,1.0
254,2MASS J05390193-0235029,FIELD,1.0
255,2MASS J05390297-0241272,FIELD,1.0
256,ESO-HA 1693,FIELD,1.0
257,2MASS J05390387-0220081,FIELD,1.0
258,Haro 5-19,FIELD,1.0
259,2MASS J05390853-0251465,FIELD,1.0
260,2MASS J05390878-0231115,FIELD,1.0
261,[KJN2005] 33,FIELD,1.0
262,Haro 5-20,FIELD,1.0
263,[BZR99] S Ori 30,FIELD,0.9999999998806519
264,[BNM2013] 90.02 146,FIELD,1.0
265,2MASS J05391807-0229284,FIELD,1.0
266,Haro 5-21,FIELD,1.0
267,2MASS J16115979-3823383,UCL,0.8230486900174513
268,2MASS J16090141-3925119,UCL,0.8630081089048737
269,2MASS J15450887-3417333,UCL,0.9903205949286371
270,SSTc2dJ154518.5-342125,UCL,0.9913533189343994
271,SSTc2dJ155925.2-423507,UCL,0.9961394647343186
272,SSTc2dJ160000.6-422158,UCL,0.9726462142893494
273,SSTc2dJ160002.4-422216,UCL,0.9783884482231004
274,SSTc2dJ160026.1-415356,UCL,0.8984451658254564
275,SSTc2dJ160830.7-382827,UCL,0.8336792123230102
276,SSTc2dJ160836.2-392302,UCL,0.9772699771745829
277,SSTc2dJ160927.0-383628,UCL,0.8966197479265522
278,SSTc2dJ161018.6-383613,UCL,0.7695029968298578
279,SSTc2dJ161019.8-383607,UCL,0.7154135898306906
280,SSTc2dJ161029.6-392215,UCL,0.6511338015705654
281,SSTc2dJ161243.8-381503,UCL,0.7856689385121315
282,SSTc2dJ161344.1-373646,UCL,0.9900774987013583
283,Sz 100,UCL,0.9878277478447812
284,Sz 103,UCL,0.8575022210085091
285,Sz 104,UCL,0.7255460370837282
286,Sz 106,UCL,0.9678029250469248
287,Sz 108,UCL,0.9817735160629445
288,Sz 110,UCL,0.8869108060106978
289,Sz 111,UCL,0.9089766616279342
290,Sz 112,UCL,0.9208483910502268
291,Sz 113,UCL,0.9264833232603799
292,Sz 114,UCL,0.8487229522686167
293,Sz 115,UCL,0.9702205211504406
294,Sz 117,FIELD,0.5305287522885951
295,Sz 118,UCL,0.9138589128828798
296,THA 15-42,UCL,0.7896773365211767
297,Sz 129,UCL,0.9164427096161327
298,Sz 130,UCL,0.9518477830579987
299,Sz 131,UCL,0.9595764786183272
300,Sz 65,UCL,0.9773158451578121
301,Sz 66,UCL,0.981804009138998
302,Sz 68,UCL,0.9853137634191801
303,Sz 69,UCL,0.990856685065037
304,Sz 71,UCL,0.9868638424848226
305,Sz 72,UCL,0.9911649896852995
306,Sz 73,UCL,0.9905286011512332
307,CD-35 10525,UCL,0.992888752567666
308,Sz 76,UCL,0.976953147322425
309,Sz 77,UCL,0.9768574081343927
310,THA 15-10,UCL,0.9723380847808447
311,THA 15-12,UCL,0.9782364680868094
312,Sz 83,UCL,0.968340324881762
313,Sz 84,UCL,0.9930513470756831
314,V* HO Lup,UCL,0.9764294855543607
315,Sz 90,UCL,0.5922064403969373
316,Sz 91,UCL,0.9448345596689616
317,Sz 95,UCL,0.9679705860390232
318,Sz 96,UCL,0.9416871612298092
319,Sz 97,UCL,0.7845325894297712
320,Sz 98,UCL,0.8626632955269945
321,Sz 99,UCL,0.7758342043737003
322,V* UY Cha,FIELD,0.9999999999994733
323,V* SX Cha,FIELD,0.9999999999977334
324,TW Hya,TWA,0.9948281113047933
325,UScoCTIO 112,USCO,0.9846289792335154
326,V* UY Aur,FIELD,0.7507558316562896
