,name,ra,dec,pmra,pmdec,epmra,epmdec,rv,erv,plx,eplx
303,SSTc2dJ155925.2-423507,239.85504110102002,-42.5852732133,-17.826,-26.401999999999997,0.19899999999999998,0.146,,,6.7926,0.1034
304,SSTc2dJ160000.6-422158,240.00244164025003,-42.36588571422,-11.842,-23.713,0.145,0.09699999999999999,,,6.2033,0.0751
305,SSTc2dJ160002.4-422216,240.00975949315,-42.37082221726,-12.43,-23.53,0.175,0.10099999999999999,,,6.0912,0.0784
306,SSTc2dJ160026.1-415356,240.10877567205003,-41.89881418107,-10.231,-22.568,0.179,0.134,,,6.0852,0.0948
307,SSTc2dJ160703.9-391112,241.76596229447998,-39.186577541270005,,,,,,,,
308,SSTc2dJ160830.7-382827,242.12785984707,-38.47423282248,-9.74,-25.235,0.083,0.052000000000000005,,,6.4055,0.0394
309,SSTc2dJ160836.2-392302,242.15068277167998,-39.38411814966,-9.83,-23.435,0.1,0.057,2.69,4.1,6.5086,0.0452
310,SSTc2dJ160927.0-383628,242.36236400174,-38.60758037285,-9.511000000000001,-22.9,0.18899999999999997,0.111,,,6.2753,0.0942
311,SSTc2dJ161018.6-383613,242.57731593473,-38.60360808362,-9.485,-25.214000000000002,0.207,0.129,,,6.2972,0.0929
312,SSTc2dJ161019.8-383607,242.58258957855,-38.60193816839,-9.404,-25.563000000000002,0.299,0.183,,,6.3061,0.1359
313,SSTc2dJ161029.6-392215,242.62308052413,-39.3707869574,-8.955,-24.325,0.161,0.099,,,6.1262,0.084
314,SSTc2dJ161243.8-381503,243.18224481012,-38.25095081275,-8.562000000000001,-22.391,0.095,0.053,,,6.2573,0.0482
315,SSTc2dJ161344.1-373646,243.43368010375,-37.61295086443,-13.386,-23.349,0.18,0.10099999999999999,,,6.25,0.0854
316,Sz 100,242.10729046992995,-39.10044177284001,-11.614,-23.853,0.29,0.17,,,7.3025,0.1702
317,Sz 103,242.12606891567998,-39.1032047579,-9.377,-23.378,0.17300000000000001,0.099,,,6.2696,0.1061
318,Sz 104,242.12834301362003,-39.097004459690005,-9.447000000000001,-24.209,0.171,0.106,,,6.0437,0.0858
319,Sz 106,242.16560450246,-39.107135071959995,-11.145,-23.593000000000004,0.095,0.059000000000000004,,,6.1855,0.0579
320,Sz 108,242.17802387302999,-39.10519864237,-11.3,-26.723000000000003,0.095,0.063,-1.54,0.84,6.6079,0.0543
321,Sz 110,242.21481964459,-39.05501896771,-9.579,-23.389,0.087,0.052000000000000005,,,6.2693,0.0451
322,Sz 111,242.22779978354,-39.62874900765,-9.527999999999999,-22.643,0.057999999999999996,0.039,,,6.3159,0.03
323,Sz 112,242.23131467080003,-39.042865782,-10.306,-24.324,0.147,0.08800000000000001,,,6.2393,0.0755
324,Sz 113,242.24079041152,-39.03978156721,-10.243,-23.358,0.15,0.091,,,6.1261,0.0755
325,Sz 114,242.25764996778,-39.08688532073,-9.656,-23.930999999999997,0.095,0.063,,,6.1633,0.0531
326,Sz 115,242.27582837628998,-39.14784629947,-11.137,-24.233,0.132,0.091,,,6.3329,0.085
327,Sz 117,242.43479101114,-39.225151738529995,-8.248,-24.451,0.105,0.055,,,6.3067,0.0461
328,Sz 118,242.45267558855,-39.188114633270004,-10.196,-23.655,0.092,0.053,,,6.1011,0.0471
329,THA 15-42,242.71488773113998,-38.88725839603,-9.082,-23.358,0.09300000000000001,0.063,,,6.1419,0.0463
330,Sz 129,239.81857051582,-41.95296070976,-10.463,-23.114,0.09,0.06,,,6.185,0.0505
331,Sz 130,240.12926021753998,-41.7270417105,-10.863,-23.165,0.083,0.055,,,6.2395,0.0391
332,Sz 131,240.20590859227002,-41.501190486940004,-11.179,-23.666,0.11,0.07400000000000001,,,6.238,0.0528
333,Sz 65,234.86564598812,-34.77154272702,-13.270999999999999,-22.241999999999997,0.12,0.069,-5.11,3.33,6.4394,0.0517
334,Sz 66,234.86777661078997,-34.771783554,-13.602,-21.565,0.19699999999999998,0.11900000000000001,,,6.3557,0.0849
335,Sz 68,236.30354156349,-34.2919393866,-13.625,-21.605,0.128,0.081,,,6.4853,0.0605
336,Sz 69,236.3224713875,-34.30795452177,-15.05,-22.146,0.155,0.111,,,6.4705,0.0818
337,Sz 71,236.68629868897997,-34.51001092616,-14.027999999999999,-23.361,0.10400000000000001,0.065,,,6.4147,0.0551
338,Sz 72,236.96087901343998,-35.47660096683,-14.263,-23.16,0.09699999999999999,0.064,,,6.4148,0.0459
339,Sz 73,236.98718906132999,-35.24309526055,-14.203,-22.264,0.11199999999999999,0.073,,,6.3784,0.0545
340,Sz 74,237.02173123203,-35.2648042119,,,,,,,,
341,CD-35 10525,237.30036427968997,-35.65150548032,-14.257,-23.596,0.09699999999999999,0.066,,,6.5868,0.0473
342,Sz 76,237.37799658633998,-35.83105015191,-12.767000000000001,-23.37,0.11,0.077,,,6.2681,0.0508
343,Sz 77,237.94559196313,-35.94569095753,-12.418,-24.158,0.08800000000000001,0.057999999999999996,-4.07,2.21,6.459,0.0519
344,THA 15-10,238.95944340826,-38.02612573539,-11.659,-22.951,0.129,0.078,,,6.2554,0.0612
345,THA 15-12,239.03829529287998,-37.93513716402,-12.091,-23.718000000000004,0.12,0.07400000000000001,,,6.3113,0.0535
346,Sz 83,239.17623287741,-37.82106488929001,-11.546,-23.234,0.139,0.09,,,6.2667,0.0673
347,Sz 84,239.51043318947998,-37.60085743292,-13.224,-22.804000000000002,0.198,0.129,,,6.5512,0.1016
348,V* HO Lup,241.75243653992996,-39.03885359137,-11.165999999999999,-22.953000000000003,0.102,0.062,,,6.3119,0.0489
349,Sz 90,241.79190408686,-39.18434797134,-9.279,-25.434,0.11199999999999999,0.057999999999999996,,,6.2344,0.045
350,Sz 91,241.79822516749002,-39.0632902972,-10.201,-22.851,0.152,0.076,,,6.2869,0.0646
351,Sz 95,241.96790366632004,-38.96845963703,-10.850999999999999,-23.386999999999997,0.134,0.075,,,6.3222,0.0767
352,Sz 96,242.05257169722,-39.14273124184,-10.095,-23.412,0.096,0.061,,,6.3877,0.0533
353,Sz 97,242.09079904542003,-39.07273992501,-9.144,-24.139,0.11800000000000001,0.069,,,6.339,0.0687
354,Sz 98,242.0936697171,-39.079668663490004,-9.594,-24.475,0.094,0.053,,,6.4013,0.0502
355,Sz 99,242.10012524487004,-39.09716668596,-8.999,-23.609,0.15,0.08800000000000001,,,6.2881,0.0882
356,V* UY Cha,166.7454841256,-77.31482771806999,-23.319000000000003,1.714,0.09699999999999999,0.09699999999999999,,,5.2538,0.0576
357,V* SX Cha,163.99870109578998,-77.41114629596998,-23.813000000000002,2.193,0.059000000000000004,0.053,,,5.403,0.0312
358,TW Hya,165.46591445018,-34.704791332359996,-68.389,-14.015999999999998,0.054000000000000006,0.059000000000000004,,,16.6428,0.0416
359,UScoCTIO 112,240.11121287383997,-20.94219138582,-10.546,-17.225,0.48100000000000004,0.32299999999999995,,,6.1617,0.2008
360,V* UY Aur,72.94748045502,30.786986013570004,4.379,-25.971999999999998,0.11900000000000001,0.057,,,6.4264,0.0591
