,Source,Reference,Adopted Mass,Object Radius,Old Accr Rate,Ha Accr Rate,PaB Accr Rate,BrG Accr Rate,Avg Accr Rate
283,ISO-Oph 144,Natta 2006,0.2884032,2.16,2.1899999999999997e-09,,2.0554999863239133e-09,,2.0554999863239133e-09
284,ISO-Oph 147,Natta 2006,0.6025596,2.88,1.55e-09,,1.4458729679941616e-09,,1.4458729679941616e-09
285,ISO-Oph 148,Natta 2006,0.2818383,2.13,5.249999999999999e-10,,1.0845099177114436e-09,,1.0845099177114436e-09
286,ISO-Oph 151,Natta 2006,0.23988330000000002,2.01,4.07e-10,,8.520596404835597e-10,,8.520596404835597e-10
287,ISO-Oph 152,Natta 2006,0.3548134,2.37,4.9e-09,,3.92717036296262e-09,,3.92717036296262e-09
288,ISO-Oph 154,Natta 2006,0.4073803,2.51,2.2399999999999997e-09,,2.227383519117567e-09,,2.227383519117567e-09
289,ISO-Oph 155,Gatti 2006,1.0,2.63,5.25e-09,,,,
290,ISO-Oph 155,Natta 2006,0.8128305,3.23,4.07e-08,,2.404169361971144e-08,,2.404169361971144e-08
291,ISO-Oph 156,Natta 2006,0.17378010000000002,1.79,1.95e-10,,5.953368012372201e-10,,5.953368012372201e-10
292,ISO-Oph 157,Natta 2006,0.1096478,1.35,2.8800000000000004e-09,,8.239769056509387e-10,,8.239769056509387e-10
293,ISO-Oph 161,Natta 2006,0.6025596,2.88,6.76e-08,,,,
294,ISO-Oph 163,Gatti 2006,0.6,2.23,1.29e-08,,7.242628126148984e-10,2.4042141286507806e-09,1.5642384706328395e-09
295,ISO-Oph 163,Natta 2006,0.5623413,2.88,9.55e-09,,8.223565869879735e-09,,8.223565869879735e-09
296,2MASS J16273863-2438391,Natta 2006,0.038932999999999995,0.69,9.770000000000001e-11,,4.43153779922806e-10,,4.43153779922806e-10
297,ISO-Oph 165,Manara 2015,0.32505500000000004,0.69,4.57e-11,1.836901648291067e-10,5.468410287486368e-11,,1.191871338519852e-10
298,ISO-Oph 166,Gatti 2006,0.6,2.43,6.459999999999999e-09,,7.48407880300904e-10,,7.48407880300904e-10
299,ISO-Oph 166,Natta 2006,0.5623413,2.91,1.86e-08,,1.650343608532876e-08,,1.650343608532876e-08
300,ISO-Oph 168,Natta 2006,0.6025596,2.91,5.5000000000000004e-09,,5.793629635710704e-09,,5.793629635710704e-09
301,[GY92] 322,Natta 2006,0.2691535,2.16,,,,,
302,[GY92] 322,Natta 2006,0.14125379999999998,1.64,4.17e-10,,1.1546270840619376e-09,,1.1546270840619376e-09
303,ISO-Oph 171,Natta 2006,,1.88,,,,,
304,ISO-Oph 172,Natta 2006,0.1905461,1.84,7.59e-10,,1.6971363999803876e-09,,1.6971363999803876e-09
