Simbad-Resolvable Name,Source,Alternative Names,Star Forming Region,COORDS,Disk Type,Reference,Epoch,Effective Temperature K,Temp err,Sp Type,Sp Type Err,Method,Wavelength Range,Instrument,Tracer,Accretion Diagnostic,Line Flux erg/s/cm^2,Object Luminosity L_solar,Object Luminosity Error,Object Radius from L and T,R_err from L and T,Object Radius R_solar,R_err,Accretion Rate M_solar yr-1,Log Accretion Rate,Object Mass Range M_solar,Object Mass M_Solar,Object Mass Err,log object mass,Accretion Luminosity (CGS),Log Accretion Luminosity (solar),Age range Myr,System Age Myr,Companion?,A_V,A_V err,A_V source,Notes/Questions,Notes/Questions2,Notes/Questions3,
[NC98] Cha HA 2,[NC98] Cha HA 2,Cha Ha 2,Chamaeleon I,166.9292 -77.5664,II,Mohanty 2005,May 2002 - December 2003,3100,,M5.25,,High Res spectra,8662 A,MIKE,Line Strength,Ca II,4.56E+00,,,0.00,,,,2.51E-11,-10.6,,0.14,,,,,,2,,,,,upper limit,disk classification from Luhman et al. 2008 Accretion rate equation 1,,
[NC98] Cha HA 2,[NC98] Cha HA 2,Cha Ha 2,Chamaeleon I,166.9292 -77.5664,II,Mohanty 2005,May 2002 - December 2003,3100,,M5.25,,High Res spectra,8662 A,MIKE,Line Strength,Ca II,4.56E+00,,,0.00,,,,1.58E-11,-10.8,,0.14,,,,,,2,,,,,upper limit,disk classification from Luhman et al. 2008 Accretion rate equation 3,,
[NC98] Cha HA 5,[NC98] Cha HA 5,Cha Ha 5,Chamaeleon I,167.1083 -77.6961,II,Natta 2004,March to June 2003,2980,150,M6,0.50,HIgh resolution spectra,optical,UVES/VLT,Line Width,Ha 10% width,,0.049,,0.83,,,,1.00E-12,-12,,0.10,,-1.020315076,,,,2,,,,,upper limit,,,
[NC98] Cha HA 5,[NC98] Cha HA 5,Cha Ha 5,Chamaeleon I,167.1083 -77.6961,II,Natta 2004,March to June 2003,2980,150,M6,0.50,HIgh resolution spectra,infrared,UVES/VLT,Line Strength,PaB luminosity,,0.049,,0.83,,,,1.00E-10,-10,,0.10,,-1.020315076,,,,2,,,,,upper limit,,,
[NC98] Cha HA 6,[NC98] Cha HA 6,Cha Ha 6,Chamaeleon I,167.1667 -77.5811,II,Mohanty 2005,May 2002 - December 2003,3025,,M5.75,,High Res spectra,8662 A,MIKE,Line Strength,Ca II,4.51E+00,,,0.00,,,,2.51E-11,-10.6,,0.12,,,,,,2,,,,,upper limit,disk classification from Luhman et al. 2008 Accretion rate equation 1,,
[NC98] Cha HA 6,[NC98] Cha HA 6,Cha Ha 6,Chamaeleon I,167.1667 -77.5811,II,Mohanty 2005,May 2002 - December 2003,3025,,M5.75,,High Res spectra,8662 A,MIKE,Line Strength,Ca II,4.51E+00,,,0.00,,,,1.58E-11,-10.8,,0.12,,,,,,2,,,,,upper limit,disk classification from Luhman et al. 2008 Accretion rate equation 3,,
2MASS J11115400-7619311,2MASS J11115400-7619311,CHXR49NE,Chameleon I,167.9750083 -76.3253167,U,Muzerolle 2005,"December 30, 2003",3430,,M2.5,,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,0.00,,1.7,,,,,0.44,,,,,,2,,,,,,,,
Haro 6-36,Haro 6-36,CIDA14,Taurus,70.83427375 29.66834806,II,Muzerolle 2003,2000-2001,,,M5,,R = 8000 Spectroscopy and R = 34000 spectriscopy,3902 A to 11000 A,ESI Keck II and HIRES Keck I,Line Width,Ha 10% width,,0.229,,#DIV/0!,,1,,5.01E-11,-10.3,0.12,0.12,,-0.920818754,7.64E+26,1.91E-07,,2.04,,0.34,,,,disk classification from LUHMAN ET AL. JAN 2010,,
CI Tau,CI Tau,,Taurus,68.46672686 22.84169271,II,Salyk 2013,2001-2011,4060,,K7,,R 25000 Spectroscopy,4.6538 μm,NIRSPEC/KeckII,Line Strength,PfB,1.45E+29,0.840,,1.86,,,,,-7.68,,0.77,,,,-0.66,,1,,,,,,,,
CK4,CK4,,Oph,277.49251546 1.25600096,II,Salyk 2013,2001-2011,4730,,K3,,R 25000 Spectroscopy,4.6538 μm,NIRSPEC/KeckII,Line Strength,PfB,3.09E+29,,,0.00,,,,,,,,,,,0.37,,1,,,,,,,,
2MASS J19014156-3658312,2MASS J19014156-3658312,CrAIRS2,Oph,285.42317 -36.97533,II,Salyk 2013,2001-2011,4900,,K2,,R 25000 Spectroscopy,4.6538 μm,NIRSPEC/KeckII,Line Strength,PfB,1.59E+30,,,0.00,,,,,,,,,,,0.28,,1,,,,,,,,
CV Cha,CV Cha,,Chamaeleon I,168.11543856 -76.73952739,II,Salyk 2013,2001-2011,5451,,G8,,R 25000 Spectroscopy,4.6538 μm,NIRSPEC/KeckII,Line Strength,PfB,2.24E+30,8.000,,3.18,,3.2,,,-6.81,,2.10,,,,0.41,,2,,,,,,,,
CY Tau,CY Tau,,Taurus,64.39053396 28.3463361,II,Gullbring 1998,December 1996,,,M1,,medium resolution spectra,3200 - 5200 A,MMT,Excess,Excess Balmer,,0.460,,#DIV/0!,,1.63,,7.50E-09,-8.124938737,,0.42,,,,0.041,,1,,,,,,,,
DE Tau,DE Tau,,Taurus,65.48181096 27.91838451,II,Gullbring 1998,December 1996,,,M2,,medium resolution spectra,3200 - 5200 A,MMT,Excess,Excess Balmer,,0.870,,#DIV/0!,,2.45,,2.64E-08,-7.578396073,,0.26,,,,0.071,,1,,,,,,,,
DF Tau,DF Tau,,Taurus,66.76163228 25.70623788,II,Gullbring 1998,December 1996,,,M1,,medium resolution spectra,3200 - 5200 A,MMT,Excess,Excess Balmer,,1.970,,#DIV/0!,,3.37,,1.77E-07,-6.752026734,,0.27,,,,0.358,,1,,,,,,,,
DK Tau,DK Tau,,Taurus,67.6843792 26.0234639,II,Gullbring 1998,December 1996,,,K7,,medium resolution spectra,3200 - 5200 A,MMT,Excess,Excess Balmer,,1.450,,#DIV/0!,,2.49,,3.79E-08,-7.42136079,,0.43,,,,0.166,,1,,,,,,,,
DN Tau,DN Tau,,Taurus,68.86407343 24.24969688,II,Gullbring 1998,December 1996,,,M0,,medium resolution spectra,3200 - 5200 A,MMT,Excess,Excess Balmer,,0.870,,#DIV/0!,,2.09,,3.50E-09,-8.455931956,,0.38,,,,0.016,,1,,,,,,,,
DO Tau,DO Tau,,Taurus,69.6208 26.1803,II,Gullbring 1998,December 1996,,,M0,,medium resolution spectra,3200 - 5200 A,MMT,Excess,Excess Balmer,,1.010,,#DIV/0!,,2.25,,1.44E-07,-6.841637508,,0.37,,,,0.6,,1,,,,,,,,
DQ Tau,DQ Tau,,Taurus,71.72107377 17.00003759,II,Gullbring 1998,December 1996,,,M0,,medium resolution spectra,3200 - 5200 A,MMT,Excess,Excess Balmer,,0.635,,#DIV/0!,,1.785,,6.00E-10,-9.22184875,,0.44,,,,0.004,,1,,,,,,,,
DS Tau,DS Tau,,Taurus,71.95248119 29.41977495,II,Gullbring 1998,December 1996,,,K5,,medium resolution spectra,3200 - 5200 A,MMT,Excess,Excess Balmer,,0.570,,#DIV/0!,,1.36,,1.29E-08,-7.88941029,,0.87,,,,0.209,,1,,,,,,,,
2MASS J16030548-4018254,2MASS J16030548-4018254,EXLup,Lupus,240.77288099 -40.30706293,II,Alcala 2017,2010,3.85E+03,1.77E+02,M0,0.50,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,0.00,,2.49,0.58,3.63E-08,-7.44E+00,,0.56,1.40E-01,-2.52E-01,,-7.00E-01,3-10,3,,,,,,,,
2MASS J04323034+1731406,2MASS J04323034+1731406,GGTau,Taurus,68.1263829 17.52800969,II,Gullbring 1998,December 1996,,,K7,,medium resolution spectra,3200 - 5200 A,MMT,Excess,Excess Balmer,,,,#DIV/0!,,2.31,,1.75E-08,-7.756961951,,0.44,,,,0.084,,1,,,,,,,,
2MASS J04333405+2421170,2MASS J04333405+2421170,GITau,Taurus,68.39192016 24.35474094,II,Gullbring 1998,December 1996,,,K6,,medium resolution spectra,3200 - 5200 A,MMT,Excess,Excess Balmer,,,,#DIV/0!,,1.735,,9.60E-09,-8.017728767,,0.67,,,,0.094,,1,,,,,,,,
2MASS J04333456+2421058,2MASS J04333456+2421058,GKTau,Taurus,68.39401116 24.35162626,II,Gullbring 1998,December 1996,,,K7,,medium resolution spectra,3200 - 5200 A,MMT,Excess,Excess Balmer,,,,#DIV/0!,,2.15,,6.40E-09,-8.193820026,,0.46,,,,0.035,,1,,,,,,,,
2MASS J04551098+3021595,2MASS J04551098+3021595,GMAur,Taurus,73.79575569 30.36649333,II,Gullbring 1998,December 1996,,,K7,,medium resolution spectra,3200 - 5200 A,MMT,Excess,Excess Balmer,,,,#DIV/0!,,1.78,,9.60E-09,-8.017728767,,0.52,,,,0.071,,1,,,,,,,,
2MASS J16262152-2426009,2MASS J16262152-2426009,"ISO-Oph 030, GY 5",p Oph,246.58974557 -24.43361126,III,Mohanty 2005,May 2002 - December 2003,3050,,M5.5,,High Res spectra,8662 A,HIRES,Line Strength,Ca II,4.52E+00,,,0.00,,,,2.51E-11,-10.6,,0.12,,,,,,1,,,,,upper limit,disk classification from Luhman 1999. Accretion rate equation 1,,
2MASS J16262152-2426009,2MASS J16262152-2426009,"ISO-Oph 030, GY 5",p Oph,246.58974557 -24.43361126,III,Mohanty 2005,May 2002 - December 2003,3050,,M5.5,,High Res spectra,8662 A,HIRES,Line Strength,Ca II,4.52E+00,,,0.00,,,,1.58E-11,-10.8,,0.12,,,,,,1,,,,,upper limit,disk classification from Luhman 1999. Accretion rate equation 3,,
TWA 3A,TWA 3A,Hen3-600A,TW HyA,167.6167 -37.5311,II,Herczeg 2009,"May 28, 2008",3415,,M3,,Low resolution spectra,3200-9000 A,Keck I/LRIS,Excess,Excess Balmer,,,,0.00,,0.81,,2.51E-10,-9.6,,0.37,,-0.4317982759,,-2.5,,8,companion,,,,,,,
TWA 3B,TWA 3B,Hen3-600B,TW HyA,167.6167 -37.5311,II,Herczeg 2009,"May 28, 2008",3342,,M3.5,,Low resolution spectra,3200-9000 A,Keck I/LRIS,Excess,Excess Balmer,,,,0.00,,0.69,,7.94E-12,-11.1,,0.29,,-0.5376020021,,-4.1,,8,companion,,,,,,,
2MASS J04333935+1751523,2MASS J04333935+1751523,HNTau,Taurus,68.41400516 17.86452857,II,Gullbring 1998,December 1996,,,K5,,medium resolution spectra,3200 - 5200 A,MMT,Excess,Excess Balmer,,,,#DIV/0!,,0.76,,1.30E-09,-8.886056648,,0.81,,,,0.035,,1,,,,,,,,
Cl* IC 348 LRL 165,Cl* IC 348 LRL 165,check name,IC348 ,56.1458 32.1489,II,Mohanty 2005,May 2002 - December 2003,3100,,M5.25,,High Res spectra,8662 A,HIRES,Line Strength,Ca II,5.60E+00,,,0.00,,,,3.16E-10,-9.5,,0.14,,,,,,1,,,,,,disk classification from Ruiz-Rodrigues 2018 Accretion rate equation 1,,
Cl* IC 348 LRL 165,Cl* IC 348 LRL 165,check name,IC348 ,56.1458 32.1489,II,Mohanty 2005,May 2002 - December 2003,3100,,M5.25,,High Res spectra,8662 A,HIRES,Line Strength,Ca II,5.60E+00,,,0.00,,,,1.26E-10,-9.9,,0.14,,,,,,1,,,,,,disk classification from Ruiz-Rodrigues 2018 Accretion rate equation 3,,
Cl* IC 348 LRL 165,Cl* IC 348 LRL 165,,IC348 ,56.1458 32.1489,II,Muzerolle 2003,2000-2001,,,M5.25,,R = 8000 Spectroscopy and R = 34000 spectriscopy,3903 A to 11000 A,ESI Keck II and HIRES Keck I,Line Width,Ha 10% width,,0.105,,#DIV/0!,,1,,1.00E-10,-10,0.12,0.12,,-0.920818754,1.52E+27,3.81E-07,,0.44,,2.41,,"Luhman 1998, converted from A_J",,disk classification from Ruiz-Rodrigues 2018,,
2MASS J03441012+3204045,2MASS J03441012+3204045,IC348 173,IC348 ,56.0417 32.0681,II,Muzerolle 2003,2000-2001,,,M5.75,,R = 8000 Spectroscopy and R = 34000 spectriscopy,3904 A to 11000 A,ESI Keck II and HIRES Keck I,Line Width,Ha 10% width,,0.112,,#DIV/0!,,1,,1.00E-10,-10,0.1,0.10,,-1,1.27E+27,3.18E-07,,0.25,,1.42,,,,disk classification from Ruiz-Rodrigues 2018,,
2MASS J03442980+3200545,2MASS J03442980+3200545,IC348 205,IC348 ,56.1250 32.0153,II,Mohanty 2005,May 2002 - December 2003,3000,,M6.0,,High Res spectra,8662 A,HIRES,Line Strength,Ca II,5.08E+00,,,0.00,,,,1.00E-10,-10,,0.10,,,,,,1,,,,,,disk classification from Ruiz-Rodrigues 2018 Accretion rate equation 1,,
2MASS J03442980+3200545,2MASS J03442980+3200545,IC348 205,IC348 ,56.1250 32.0153,II,Mohanty 2005,May 2002 - December 2003,3000,,M6.0,,High Res spectra,8662 A,HIRES,Line Strength,Ca II,5.08E+00,,,0.00,,,,5.01E-11,-10.3,,0.10,,,,,,1,,,,,,disk classification from Ruiz-Rodrigues 2018 Accretion rate equation 3,,
2MASS J03442980+3200545,2MASS J03442980+3200545,IC348 205,IC348 ,56.1250 32.0153,II,Muzerolle 2003,2000-2001,,,M6,,R = 8000 Spectroscopy and R = 34000 spectriscopy,3905 A to 11000 A,ESI Keck II and HIRES Keck I,Line Width,Ha 10% width,,0.078,,#DIV/0!,,1,,1.00E-10,-10,0.09,0.09,,-1.045757491,1.14E+27,2.86E-07,,0.33,,1.21,,,,disk classification from Ruiz-Rodrigues 2018,,
2MASS J03435526+3207533,2MASS J03435526+3207533,IC348 256,IC348 ,55.9792 32.1314,II,Mohanty 2005,May 2002 - December 2003,3025,,M5.75,,High Res spectra,8662 A,HIRES,Line Strength,Ca II,4.51E+00,,,0.00,,,,2.51E-11,-10.6,,0.12,,,,,,1,,,,,upper limit,disk classification from Ruiz-Rodrigues 2018 Accretion rate equation 1,,
2MASS J03435526+3207533,2MASS J03435526+3207533,IC348 256,IC348 ,55.9792 32.1314,II,Mohanty 2005,May 2002 - December 2003,3025,,M5.75,,High Res spectra,8662 A,HIRES,Line Strength,Ca II,4.51E+00,,,0.00,,,,1.58E-11,-10.8,,0.12,,,,,,1,,,,,upper limit,disk classification from Ruiz-Rodrigues 2018 Accretion rate equation 3,,
Cl* IC 348 LRL 336,Cl* IC 348 LRL 336,,IC348 ,56.1333 32.0575,II,Muzerolle 2003,2000-2001,,,M5.5,,R = 8000 Spectroscopy and R = 34000 spectriscopy,3906 A to 11000 A,ESI Keck II and HIRES Keck I,Line Width,Ha 10% width,,0.040,,#DIV/0!,,1,,1.00E-10,-10,0.1,0.10,,-1,1.27E+27,3.18E-07,,2.6,,3.12,,,,disk classification from Ruiz-Rodrigues 2018,,
Cl* IC 348 LRL 382,Cl* IC 348 LRL 382,,IC348 ,56.1291 32.0456,II,Mohanty 2005,May 2002 - December 2003,3050,,M5.5,,High Res spectra,8662 A,HIRES,Line Strength,Ca II,4.82E+00,,,0.00,,,,5.01E-11,-10.3,,0.11,,,,,,1,,,,,,disk classification from Ruiz-Rodrigues 2018 Accretion rate equation 1,,
Cl* IC 348 LRL 382,Cl* IC 348 LRL 382,,IC348 ,56.1291 32.0456,II,Mohanty 2005,May 2002 - December 2003,3050,,M5.5,,High Res spectra,8662 A,HIRES,Line Strength,Ca II,4.82E+00,,,0.00,,,,2.51E-11,-10.6,,0.11,,,,,,1,,,,,,disk classification from Ruiz-Rodrigues 2018 Accretion rate equation 3,,
IP Tau,IP Tau,,Taurus,66.23784312 27.19903974,II,Gullbring 1998,December 1996,,,M0,,medium resolution spectra,3200 - 5200 A,MMT,Excess,Excess Balmer,,,,#DIV/0!,,1.44,,8.00E-10,-9.096910013,,0.52,,,,0.007,,1,,,,,,,,
2MASS J16253673-2415424,2MASS J16253673-2415424,ISO-Oph 001,p Oph,246.40307349 -24.26181351,II,Natta 2006,2004 Spring,3890.45145,,,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,1.622,,2.81,,,,,-8.66,,0.55,,-0.26,,-1.81,,1,,,,,upper limit,,,
ISO-Oph 002,ISO-Oph 002,ISO-Oph 002a or +,p Oph,246.4042 -24.2617     ,II,Natta 2006,2004 Spring,3388.44156,,,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.589,,2.23,,,,,-8.22,,0.30,,-0.52,,-1.54,,1,,,,,,,,
ISO-Oph 002,ISO-Oph 002,ISO-Oph 002a or +,p Oph,246.4042 -24.2617     ,II,Gatti 2006,May 19 20 2005,3850,,M0,2.00,".06"" spectra 750 - 860 R spectra",2 - 2.4 um,ISAAC/ESO-VLT UT1 telescope,Line Width,EW PaB  & BrG,,0.550,,1.67,,,,1.86E-09,-8.73,,0.40,,,,,.1-1,1,,,,,,,,
2MASS J16253958-2426349,2MASS J16253958-2426349,ISO-Oph 003,p Oph,246.41492859 -24.44302485,II,Natta 2006,2004 Spring,3548.13389,,,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.794,,2.37,,,,,-7.92,,0.36,,-0.44,,-1.18,,1,,,,,,,,
2MASS J16255052-2439145,2MASS J16255052-2439145,ISO-Oph 005,p Oph,246.46052063 -24.65404667,III,Natta 2006,2004 Spring,3890.45145,,,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,,,0.00,,,,,-8.86,,0.55,,-0.26,,-2.01,,1,,,,,upper limit,,,
2MASS J16255615-2420481,2MASS J16255615-2420481,ISO-Oph 006,p Oph,246.48402479 -24.34673313,II,Natta 2006,2004 Spring,3890.45145,,,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.661,,1.79,,,,,-6.74,,0.52,,-0.28,,0.1,,1,,,,,,,,
2MASS J16260137-2425203,2MASS J16260137-2425203,ISO-Oph 009,p Oph,246.50569307 -24.42248331,II,Natta 2006,2004 Spring,2818.38293,,,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.085,,1.23,,,,,-10.24,,0.09,,-1.03,,-3.8,,1,,,,,upper limit,,,
2MASS J16260329-2417464,2MASS J16260329-2417464,ISO-Oph 011,p Oph,246.51374354 -24.2962612,III,Natta 2006,2004 Spring,3467.3685,,,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,,,0.00,,,,,-8.92,,0.32,,-0.49,,-2.22,,1,,,,,upper limit,,,
2MASS J16260457-2417514,2MASS J16260457-2417514,ISO-Oph 012,p Oph,246.519074 -24.297634,II,Natta 2006,2004 Spring,2818.38293,,,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.089,,1.26,,,,,-10.55,,0.10,,-1.02,,-4.11,,1,,,,,upper limit,,,
2MASS J16260704-2427241,2MASS J16260704-2427241,ISO-Oph 013,p Oph,246.529345 -24.456718,II,Natta 2006,2004 Spring,3235.93657,,,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.417,,2.06,,,,,-8.53,,0.24,,-0.62,,-1.9,,1,,,,,,,,
2MASS J16260763-2427413,2MASS J16260763-2427413,ISO-Oph 014,p Oph,246.531832 -24.461491,III,Natta 2006,2004 Spring,3630.78055,,,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,,,0.00,,,,,-9.07,,0.40,,-0.4,,-2.31,,1,,,,,upper limit,,,
2MASS J16260931-2434121,2MASS J16260931-2434121,ISO-Oph 016,p Oph,246.53884634 -24.57004911,III,Natta 2006,2004 Spring,,,,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,,,#DIV/0!,,,,,,,1.00,,,,,,1,,,,,,,,
2MASS J16261033-2420548,2MASS J16261033-2420548,ISO-Oph 017,p Oph,246.543048 -24.348562,II,Natta 2006,2004 Spring,4073.80278,,,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,2.138,,2.94,,,,,-8.48,,0.65,,-0.19,,-1.58,,1,,,,,upper limit,,,
2MASS J16261581-2419221,2MASS J16261581-2419221,ISO-Oph 018,p Oph,246.56590881 -24.32293085,III,Natta 2006,2004 Spring,3630.78055,,,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,,,0.00,,,,,-9.06,,0.40,,-0.4,,-2.29,,1,,,,,upper limit,,,
2MASS J16261684-2422231,2MASS J16261684-2422231,ISO-Oph 019,p Oph,246.57024352 -24.37309837,II,Natta 2006,2004 Spring,4365.15832,,,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,3.467,,3.26,,,,,-8.23,,0.87,,-0.06,,-1.26,,1,,,,,upper limit,,,
2MASS J16261706-2420216,2MASS J16261706-2420216,ISO-Oph 020,p Oph,246.57114482 -24.33933182,II,Natta 2006,2004 Spring,3801.89396,,,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,1.259,,2.59,,,,,-8.46,,0.47,,-0.33,,-1.65,,1,,,,,,,,
2MASS J16261886-2428196,2MASS J16261886-2428196,ISO-Oph 024,p Oph,246.57865951 -24.47213835,II,Natta 2006,2004 Spring,3890.45145,,,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,1.514,,2.72,,,,,-7.19,,0.52,,-0.28,,-0.35,,1,,,,,,,,
2MASS J16261898-2424142,2MASS J16261898-2424142,ISO-Oph 026,p Oph,246.579093 -24.403961,II,Natta 2006,2004 Spring,3311.31121,,,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.468,,2.08,,,,,-8.41,,0.26,,-0.59,,-1.76,,1,,,,,,,,
2MASS J16262101-2415414,2MASS J16262101-2415414,ISO-Oph 028,p Oph,246.58762019 -24.26152426,III,Natta 2006,2004 Spring,4168.69383,,,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,,,0.00,,,,,-8.58,,0.72,,-0.14,,-1.66,,1,,,,,upper limit,,,
2MASS J16262152-2426009,2MASS J16262152-2426009,"ISO-Oph 030, GY 5",p Oph,246.58974557 -24.43361126,II,Natta 2006,2004 Spring,2754.2287,,,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.060,,1.08,,,,,-10.5,,0.08,,-1.12,,-4.09,,1,,,,,,,,
ISO-Oph 032,ISO-Oph 032,,p Oph,246.59128482 -24.74436689,II,Manara 2015,2010,2935,50,M6.5,,R 4350-6450 spectroscopy,302 - 2500 nm,X-Shooter,Line Strength,Various Line Intensity,,0.033,,0.70,,0.7,0.03,3.24E-11,-10.49,,0.07,0.1,-1.15490196,,-4.09,,1,,,,,,,,
ISO-Oph 035,ISO-Oph 035,,p Oph,246.595649 -24.479486,II,Natta 2006,2004 Spring,2818.38293,,,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.076,,1.16,,,,,,,0.09,,-1.06,,,,1,,,,,,,,
ISO-Oph 036,ISO-Oph 036,,p Oph,246.59737289 -24.34988351,II,Natta 2006,2004 Spring,4570.8819,,,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,6.08E+29,5.370,,3.71,,,,,-8.21,,1.12,,0.05,,-1.17,,1,,,,,,,,
ISO-Oph 037,ISO-Oph 037,,p Oph,246.598249 -24.410971,II,Gatti 2006,May 19 20 2005,4350,,K5,4.00,".06"" spectra 750 - 860 R spectra",8 - 2.4 um,ISAAC/ESO-VLT UT1 telescope,Line Width,EW PaB  & BrG,,0.160,,0.71,,,,2.45E-10,-9.61,,0.70,,-0.15490196,,,.1-1,3,,,,,,,,
ISO-Oph 037,ISO-Oph 037,,p Oph,246.598249 -24.410971,II,Manara 2015,2010,4060,50,K7,,R 4350-6450 spectroscopy,304 - 2500 nm,X-Shooter,Line Strength,Various Line Intensity,,0.415,,1.31,,1.31,0.21,3.24E-09,-8.49,,1.02,0.1,0.008600171762,,-1.2,,1,,,,,,,,
ISO-Oph 037,ISO-Oph 037,,p Oph,246.598249 -24.410971,II,Natta 2006,2004 Spring,2884.0315,,,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,1.01E+29,0.151,,1.56,,,,,-8.71,,0.13,,-0.88,,-2.22,,1,,,,,,,,
ISO-Oph 038,ISO-Oph 038,,p Oph,246.59871301 -24.72052409,II,Natta 2006,2004 Spring,3801.89396,,,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,7.32E+28,1.349,,2.68,,,,,-9.24,,0.49,,-0.31,,-2.42,,1,,,,,upper limit,,,
ISO-Oph 039,ISO-Oph 039,,p Oph,246.60021719 -24.41336253,II,Natta 2006,2004 Spring,4786.30092,,,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,5.68E+29,7.244,,3.93,,,,,-8.29,,1.35,,0.13,,-1.2,,1,,,,,upper limit,,,
ISO-Oph 040,ISO-Oph 040,,p Oph,246.60037336 -24.27040463,II,Natta 2006,2004 Spring,4265.79519,,,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,7.32E+30,3.388,,3.38,,,,,-6.67,,0.85,,-0.07,,0.3,,1,,,,,,,,
ISO-Oph 041,ISO-Oph 041,,p Oph,246.605345 -24.412502,II,Natta 2006,2004 Spring,2884.0315,,,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,1.21E+28,0.182,,1.71,,,,,-9.98,,0.15,,-0.83,,-3.48,,1,,,,,upper limit,,,
ISO-Oph 043,ISO-Oph 043,,p Oph,246.614743 -24.698202,II,Natta 2006,2004 Spring,3548.13389,,,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,1.56E+29,0.813,,2.39,,,,,-8.71,,0.36,,-0.44,,-1.97,,1,,,,,upper limit,,,
ISO-Oph 044,ISO-Oph 044,,p Oph,246.618653 -24.261435,III,Natta 2006,2004 Spring,3311.31121,,,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,7.15E+28,,,0.00,,,,,-9.09,,0.28,,-0.56,,-2.43,,1,,,,,upper limit,,,
ISO-Oph 046,ISO-Oph 046,,p Oph,246.626954 -24.38254,III,Natta 2006,2004 Spring,3311.31121,,,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,1.64E+30,0.501,,2.16,,,,,-7.24,,0.27,,-0.57,,-0.58,,1,,,,,,,,
ISO-Oph 047,ISO-Oph 047,,p Oph,246.62932 -24.518118,II,Natta 2006,2004 Spring,3162.27766,,,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,7.49E+28,,,0.00,,,,,-7.93,,0.21,,-0.68,,-1.34,,1,,,,,upper limit,,,
ISO-Oph 051,ISO-Oph 051,,p Oph,246.65347787 -24.26440227,II,Natta 2006,2004 Spring,3019.95172,,,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,2.06E+28,0.245,,1.81,,,,,-9.71,,0.18,,-0.75,,-3.16,,1,,,,,upper limit,,,
ISO-Oph 052,ISO-Oph 052,,p Oph,246.657445 -24.383541,II,Natta 2006,2004 Spring,2884.0315,,,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,1.84E+29,0.138,,1.49,,,,,-8.36,,0.13,,-0.9,,-1.88,,1,,,,,,,,
ISO-Oph 053,ISO-Oph 053,,p Oph,246.661682 -24.389648,II,Natta 2006,2004 Spring,2884.0315,,,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,9.87E+27,0.145,,1.53,,,,,-10.09,,0.13,,-0.89,,-3.61,,1,,,,,upper limit,,,
