#VisAO i-prime
#Effective wavelength =      0.76691462 microns
#Effective width =       0.13151942 microns
#note: no atmosphere included
#     lambda     trans     RSR       RSR+atm
     0.841000     0.137247     0.154193     0.154193
     0.841500     0.120207     0.135129     0.135129
     0.842000     0.105045     0.118155     0.118155
     0.842500    0.0918996     0.103431     0.103431
     0.843000    0.0803085    0.0904389    0.0904389
     0.843500    0.0704058    0.0793341    0.0793341
     0.844000    0.0617021    0.0695678    0.0695678
     0.844500    0.0539890    0.0609076    0.0609076
     0.845000    0.0471290    0.0531999    0.0531999
     0.845500    0.0412561    0.0465980    0.0465980
     0.846000    0.0362051    0.0409172    0.0409172
     0.846500    0.0317073    0.0358552    0.0358552
     0.847000    0.0278256    0.0314844    0.0314844
     0.847500    0.0245037    0.0277419    0.0277419
     0.848000    0.0215407    0.0244018    0.0244018
     0.848500    0.0189773    0.0215105    0.0215105
     0.849000    0.0167423    0.0189884    0.0189884
     0.849500    0.0147879    0.0167817    0.0167817
     0.850000    0.0131112    0.0148877    0.0148877
     0.850500    0.0116479    0.0132339    0.0132339
     0.851000    0.0103427    0.0117578    0.0117578
     0.851500   0.00917818    0.0104402    0.0104402
     0.852000   0.00814759   0.00927332   0.00927332
     0.852500   0.00727903   0.00828961   0.00828961
     0.853000   0.00648230   0.00738659   0.00738659
     0.853500   0.00578847   0.00659984   0.00659984
     0.854000   0.00519254   0.00592385   0.00592385
     0.854500   0.00466765   0.00532815   0.00532815
     0.855000   0.00418129   0.00477576   0.00477576
     0.855500   0.00374262   0.00427722   0.00427722
     0.856000   0.00336799   0.00385133   0.00385133
     0.856500   0.00302364   0.00345959   0.00345959
     0.857000   0.00272873   0.00312397   0.00312397
     0.857500   0.00247486   0.00283499   0.00283499
     0.858000   0.00223815   0.00256533   0.00256533
     0.858500   0.00202133   0.00231816   0.00231816
     0.859000   0.00181913   0.00208749   0.00208749
     0.859500   0.00164600   0.00188991   0.00188991
     0.860000   0.00149234   0.00171448   0.00171448
     0.860500   0.00134510   0.00154622   0.00154622
     0.861000   0.00123615   0.00142181   0.00142181
     0.861500   0.00111473   0.00128289   0.00128289
     0.862000   0.00101939   0.00117385   0.00117385
     0.862500  0.000932013   0.00107386   0.00107386
     0.863000  0.000853000  0.000983390  0.000983390
     0.863500  0.000774154  0.000893009  0.000893009
     0.864000  0.000710698  0.000820286  0.000820286
     0.864500  0.000648037  0.000748395  0.000748395
     0.865000  0.000591827  0.000683875  0.000683875
     0.865500  0.000546975  0.000632413  0.000632413
     0.866000  0.000498950  0.000577220  0.000577220
     0.866500  0.000462165  0.000534972  0.000534972
     0.867000  0.000419873  0.000486299  0.000486299
     0.867500  0.000389127  0.000450948  0.000450948
     0.868000  0.000355897  0.000412677  0.000412677
     0.868500  0.000326390  0.000378681  0.000378681
     0.869000  0.000302610  0.000351293  0.000351293
     0.869500  0.000280157  0.000325415  0.000325415
     0.870000  0.000258643  0.000300598  0.000300598
     0.870500  0.000240717  0.000279925  0.000279925
     0.871000  0.000222513  0.000258904  0.000258904
     0.871500  0.000206436  0.000240336  0.000240336
     0.872000  0.000186874  0.000217686  0.000217686
     0.872500  0.000175119  0.000204111  0.000204111
     0.873000  0.000160577  0.000187268  0.000187268
     0.873500  0.000151063  0.000176274  0.000176274
     0.874000  0.000137544  0.000160590  0.000160590
     0.874500  0.000129810  0.000151647  0.000151647
     0.875000  0.000122650  0.000143365  0.000143365
     0.875500  0.000111445  0.000130342  0.000130342
     0.876000  0.000100654  0.000117788  0.000117788
     0.876500  9.68699e-05  0.000113425  0.000113425
     0.877000  9.13814e-05  0.000107059  0.000107059
     0.877500  8.43762e-05  9.89085e-05  9.89085e-05
     0.878000  8.16667e-05  9.57868e-05  9.57868e-05
     0.878500  7.00862e-05  8.22508e-05  8.22508e-05
     0.879000  6.64858e-05  7.80700e-05  7.80700e-05
     0.879500  6.62210e-05  7.78033e-05  7.78033e-05
     0.880000  5.95948e-05  7.00579e-05  7.00579e-05
     0.880500  5.77115e-05  6.78825e-05  6.78825e-05
