#VisAO z-prime
#Effective wavelength =      0.90969793 microns
#Effective width =       0.12102354 microns
#note: no atmosphere included
#     lambda     trans     RSR       RSR+atm
     0.915500     0.635102     0.688768     0.688768
     0.916000     0.631212     0.684923     0.684923
     0.916500     0.627233     0.680977     0.680977
     0.917000     0.624686     0.678582     0.678582
     0.917500     0.622203     0.676253     0.676253
     0.918000     0.618330     0.672410     0.672410
     0.918500     0.614472     0.668579     0.668579
     0.919000     0.610556     0.664679     0.664679
     0.919500     0.606668     0.660806     0.660806
     0.920000     0.602796     0.656946     0.656946
     0.920500     0.599918     0.654164     0.654164
     0.921000     0.598021     0.652450     0.652450
     0.921500     0.596862     0.651539     0.651539
     0.922000     0.594696     0.649528     0.649528
     0.922500     0.592669     0.647664     0.647664
     0.923000     0.590558     0.645707     0.645707
     0.923500     0.587900     0.643149     0.643149
     0.924000     0.585172     0.640512     0.640512
     0.924500     0.583982     0.639555     0.639555
     0.925000     0.582058     0.637792     0.637792
     0.925500     0.579179     0.634980     0.634980
     0.926000     0.576346     0.632216     0.632216
     0.926500     0.573519     0.629455     0.629455
     0.927000     0.570696     0.626694     0.626694
     0.927500     0.567851     0.623906     0.623906
     0.928000     0.565080     0.621197     0.621197
     0.928500     0.562290     0.618463     0.618463
     0.929000     0.559502     0.615728     0.615728
     0.929500     0.556715     0.612990     0.612990
     0.930000     0.553905     0.610224     0.610224
     0.930500     0.550678     0.606995     0.606995
     0.931000     0.547490     0.603806     0.603806
     0.931500     0.544252     0.600557     0.600557
     0.932000     0.541013     0.597303     0.597303
     0.932500     0.538722     0.595093     0.595093
     0.933000     0.536785     0.593272     0.593272
     0.933500     0.533550     0.590012     0.590012
     0.934000     0.530302     0.586734     0.586734
     0.934500     0.527062     0.583462     0.583462
     0.935000     0.523829     0.580192     0.580192
     0.935500     0.520670     0.577002     0.577002
     0.936000     0.517396     0.573680     0.573680
     0.936500     0.514167     0.570405     0.570405
     0.937000     0.510945     0.567133     0.567133
     0.937500     0.508885     0.565148     0.565148
     0.938000     0.506595     0.562905     0.562905
     0.938500     0.503345     0.559592     0.559592
     0.939000     0.500133     0.556318     0.556318
     0.939500     0.496881     0.552994     0.552994
     0.940000     0.493604     0.549639     0.549639
     0.940500     0.491317     0.547384     0.547384
     0.941000     0.489895     0.546090     0.546090
     0.941500     0.487507     0.543717     0.543717
     0.942000     0.484705     0.540878     0.540878
