Sixth Catalog of Orbits of Visual Binary Stars: Orbits																					
RA(2000).	DEC(2000)	WDS.......	DD............	HD....	V1.11	*	V2.22	*	PPPPP.PPPPPP	*	eee.eeeeee	AAA.AAAAA	*	ee.eeeee	III.IIII	eee.eeee	NNN.NNNN	eee.eeee	TTTTT.TTTTTT	*	eee.eeeeee
182254.84	145811	18229+1458	HU  581		8.8		9.4		54.11	y	6.05	0.234	a	0.046	83.2	59.1	296.7	16.1	1992.13	y	0.64
182313.62	-612938.1	18232-6130	GLE   2A	168339	4.38				2214	d		30.7	m	4.1	56	7	54.6	8.4	18076.2	d	
182333.28	-261017.6	18236-2610	HO  566	168991	7.97		9.55		93.91	y		0.386	a		106.4		159.8		1970.51	y	
182339.55	-85604.2	18237-0856	zet Sct	169156	4.67				2373.7	d		21.6	m	1.9	89	16.5	226	14	18278.3	d	
182354.65	584802.1	18239+5848	STF2323AB	170073	5.06		8.07		3962.5	y	209.26	6.621	a	0.325	107.7	0.12	179.9	0.1	5671.4	y	12.08
182457.21	-13445.6	18250-0135	AC   11	169493	6.71		7.21		248	y		0.628	a		93.6		175.5		1868	y	
182458.46	272341.3	18250+2724	STF2315AB	169718	6.57		7.77		2094	y		2.062	a		107.6		127.7		1982	y	
182518.2	484542.5	18253+4846	HU   66AB	170109	7.9		8.4		300	y		0.392	a		123.2		59.7		2022	y	
182518.2	484542.5	18253+4846	HU   66BC	170109	8.4		8.25		561.2	y	28.74	1.103	a	0.151	108.9	1.6	14.4	2	2090.38	y	26.82
182603.38	4649.7	18261+0047	BU 1203	169725	7.11		8.73		495.73	y		0.5151	a		59.29		17.64		2315.02	y	
182610.2	84643.3	18262+0847	LDS1012A	169822	7.83				302	d	7	9.7	m	2	139	13	168	62	48531	d	50
182758.77	61139	18280+0612	CHR  71	170200	6.5		6.6		19.42	y		0.073	a		136		137.7		1980.24	y	
182806.17	-264525.8	18281-2645	HDS2615	169938	6.4		9.31		150.28	y	211.19	0.897	a	0.366	96.4	4.2	166.6	3.2	1990.48	y	6.64
182954.05	263926.7	18299+2639	BD+26 3279	170737	8.13				1284	d		9.1	m	1.1	142.1	3	353.1	6	42925.5	d	
183014.29	-54326.9	18302-0543	HR 6940	170547	6.28				503.4	d		4	m	0.5	111.5	6.4	234	5.4	42049.5	d	
183031.02	-284742.9	18305-2848	HDS2624	170415	8.47		8.71		42.93	y	10.94	0.0979	a	0.0211	144.5	33.2	42.3	22.1	2007.53	y	1.05
183201.73	64648.4	18320+0647	STT 354	170987	7.84		8.91		426	y		0.801	a		63.6		149.7		1783.9	y	
183220.66	-143839.2	18323-1439	CHR  73	170902	6.6		8.3		2.774	y	0.002	0.0365	a	0.0053	135.6	23.2	213.9	10.6	2012.6	y	0.189
183345.62	174355.9	18338+1744	HU  322AB	171365	7.74		8.91		42.4	y		0.145	a		99.1		90.3		1966.93	y	
183355.6	514311.7	18339+5144	BY Dra	234677	8.07	v			143.402712	h	0.00011	4.4472	m	0.0009	154.41	0.29	152.3	0.1	53999.2144	m	0.0021
183356.69	522112.6	18339+5221	A  1377AB	171779	6.2		6.4		205.891	y	6.746	0.2524	a	0.0072	48	1.4	57.5	1.3	21156	m	295
183356.69	522112.6	18339+5221	A  1377B	171779	6.4				2324	d	250	0.16	m	0.048	66	21	157	33	53375	m	21
183530.4	233619.9	18355+2336	STT 359	171745	6.35		6.62		219.3	y	8.8	0.425	a	0.014	119.9	2	10	1.2	1929.081	y	0.54
183553.22	165832.5	18359+1659	STT 358AB	171746	6.94		7.08		380	y		1.835	a		119		30.8		1816	y	
183557.08	114342.1	18360+1144	STT 357	171728	8.08		8.87		411.1	y		0.511	a		124.8		93.8		1968.324	y	
183613.25	652918.7	18362+6529	GC 25491	172569	6.06				504.3893	d	8.415	9.44	m	0.73	96.38	3.5	15.57	4.48	48075.293	d	56.4367
183616.58	214307.9	18363+2143	COU 206	342628	9.6		9.9		202	y	40	0.168	a	0.015	119.2	3	137.3	0.5	2002	y	0.2
183723.92	774112.4	18374+7741	STT 363	173831	7.52		8.1		641.9	y	506	0.95	a	0.244	78.3	1.7	159.7	1.5	1987.038	y	0.72
183821.13	85002.6	18384+0850	HU  198	172171	8.5	v	8.6		877.14	y	24.53	0.822	a	0.09	103.7	1.2	130.1	0.3	2020.98	y	23.27
183823.8	-31137.4	18384-0312	A    88AB	172088	7.22		7.51		12.135	y	0.006	0.1461	a	0.0008	123.9	5	173.4	0.9	2007.18	y	0.04
183823.87	670733.9	18384+6708	STF2384AB	173084	8.31		8.95		133.5	y		0.615	a		86.5		129.2		1999.5	y	
183836.74	163227.7	18386+1632	HO   87AB	172246	8.34		8.98		118.57	y		0.31	a		34.2		21.8		1972.73	y	
184059.63	244930.3	18410+2450	A  2988	172743	8.08		9.08		57.172	y	1.168	0.102	a	0.019	154.7	19	329.6	9.7	1941.464	y	1.52
184116.36	301740.9	18413+3018	STF2367AB	172865	7.7		8.03		92.2	y	0.41	0.239	a	0.0034	121	1.6	244	1.1	1980.82	y	0.015
184208.09	344446.7	18421+3445	B  2546Aa Ab	173087	6.5		7.5		111.5	y		0.133	a		36.4		49.8		2030.1	y	
184236.12	-70425.1	18426-0704	GC 25586	172831	6.14				485.3	d		6.41	m	0.53	59.5	4.9	295.8	7	42928.5	d	
184248.16	593734.1	18428+5938	STF2398AB	173739	9.11		9.96		408	y		13.88	a		66		136.9		1775	y	
184325.45	-554600.8	18434-5546	B   398AB	172447	8.07		9.17		74.37	y		0.329	a		107.5		163.1		2007.91	y	
184343.55	314054.1	18437+3141	A   253		9.71		10.29		98.57	y		0.47	a		57.5		297.5		1942.28	y	
184351.22	-64904.8	18439-0649	YSC 133	173093	6.7		7.6		7.32	y	0.14	78	m	7	108	2	120	5	2009.7	y	0.4
184359.3	32038.2	18440+0321	A  2388	173196	8.59		9.56		330	y		0.453	a		70.3		254.7		1942.4	y	
184420.34	394012.4	18443+3940	STF2382AB	173582	5.15		6.1		1725	y		4.17	a		118.6		198		190	y	
184420.34	394012.4	18443+3940	STF2382AB	173582	5.15		6.1		1804.41	y	11.56	4.742	a	0.27	121.2	0.18	162.1	0.23	2091.43	y	10.25
184422.78	393645.8	18443+3940	STF2383CD	173607	5.25		5.38		724.307	y		2.92	a		126.14		26.23		2223.934	y	
184528.36	53000.4	18455+0530	FIN 332Aa Ab	173495	6.5		6.6		27.03	y	0.67	0.094	a	0.019	106	20	136.2	4.2	1994.2	y	0.98
184528.36	53000.4	18455+0530	FIN 332Ba Bb	173495	7.19		7.95		38.6	y	1.2	0.105	a	0.015	117.2	9.5	111.8	5.7	1967.9	y	1.9
184613.38	641144.4	18462+6412	HU  937		8.85		9.9		225.53	y		0.997	a		80.1		166.8		1678.6	y	
184616.27	-272046.9	18463-2721	B   405	173427	8.66		9.3		87.95	y		0.343	a		135.3		336.5		1967.62	y	
184619.73	-275457.6	18464-2755	RST2073	173428	10.1		10.1		63.5	y		0.436	a		104.3		81.6		1987.8	y	
184628.58	-5741.9	18465-0058	MCA  53Aa Ab	173654	5.88		6.8		42.48	y	2.2	0.102	a	0.008	131.1	11.3	163.7	21.8	2012.42	y	1.12
184634.62	382104	18466+3821	HU 1191	173950	8.67		9.42		14.64	y	0.2	0.191	a	0.001	149.3	0.5	84	0.5	1996.64	y	0.04
184703.42	552243.3	18471+5523	SIG   5		12.55		12.81		44.2	y	18.7	0.237	a	0.036	79	3	125	3	2020	y	17
184710.48	-44452.2	18472-0445	bet Sct	173764	4.23				834	d		2.8	m	0.2	105.9	4.2	288.1	2.8	22480.9	d	
184820.97	-685535	18483-6856	JAO   8		23.6		20.9		15.17	y	3.25	0.2082	a	0.0255	90.32	0.37	248.08	2.25	2004.58	y	0.02
184845.41	-183604.2	18488-1836	KUI  88	173928	6.87		8.14		909.7	y		0.598	a		124		137.8		1865	y	
185002	151840.3	18500+1519	YSC  12	174457	7.6		11.3		840.8	d		2.6	m	0.7	138.6	19.8	134.4	11.2	52020	d	
185004.79	332145.6	18501+3322	CIA   3Aa1 2	174638	3.6		4		12.9414	d		0.976	m	0.083	92.1	1.24	253.22	1.97	54283.043	d	
185004.79	332145.6	18501+3322	CIA   3Aa1 2	174638	3.6		4		12.9414	d		0.993	m	0.122	91.96	1.65	251.87	1.83	54283.043	d	
185004.79	332145.6	18501+3322	CIA   3Aa1 2	174638	3.6		4		12.9414	d		0.865	m	0.048	92.25	0.82	254.39	0.83	54283.043	d	
185112.01	592317.8	18512+5923	omi Dra	175306	4.64				138.42	d		1.7	m	0.1	90.9	6.8	228.5	6.5	19258.16	d	
185134.8	-605344.5	18516-6054	RST5126	173895	7.92		8.78		54.16	y	3.17	0.13	a	0.005	21.7	13.8	195	34.5	2011.97	y	0.36
185304.53	740517.2	18531+7405	GC 26011	176523	7.41				290.0022	d	5.8248	4.43	m	0.77	38.21	15.5	116.95	19.88	48234.4453	d	15.8155
185305.87	-501049.8	18531-5011	MUG  10Aa Ab	174429	6.38		11.42	k	1766.6	y		3.02	a		109.6		43.1		2001.7	y	
185305.87	-501049.8	18531-5011	MUG  10Aa Ab	174429	6.38		11.42	k	1256	y		2.4	a		104		47.6		2001.3	y	
185305.87	-501049.8	18531-5011	MUG  10Aa Ab	174429	6.38		11.42	k	386.9	y		1.1	a		100.6		51.1		2000.7	y	
185324.53	255305.3	18534+2553	A  2989	337117	8.9		9.9		175	y		0.74	a		78.7		80.9		1968.3	y	
185341.82	-53238.1	18537-0533	A    93	175039	9.16		10.15		258	y		0.63	a		41		178.7		1906	y	
185407.63	150023	18541+1500	SAO 104236	175292	7.26				963.9922	d	122.4924	7.06	m	0.83	110.74	10.21	132.79	15.07	48529.9922	d	42.5919
185444.88	223842.3	18547+2239	MKT   9Aa Ab	175492	4.59				245.52	d	0.08	10.1	m	0.1	40.2	0.6	70.1	1.2	47784.1	d	0.8
185459.91	305245.5	18550+3053	A   258	175612	8.86		9.88		1353	y		1.52	a		97		247		2007	y	
185527.44	63655.8	18555+0637	HR 7135	175515	5.58				2994	d		26.6	m	3.4	31.9	3.6	12.6	7.7	44276.5	d	
185548.63	32659.3	18558+0327	A  2192	175543	7.73		8		132.18	y		0.276	a		129		74		2012.77	y	
185701.47	325405.8	18570+3254	BU  648AB	176051	5.34		7.96		22430	d	15	1.2756	a	0.0023	114.159	0.078	48.846	0.093	41384	m	23
185701.47	325405.8	18570+3254	BU  648B	176051	7.96				1016	d	40	0.241	m	0.041	115.8	8.2	69	11	53583	m	39
185728.47	581330	18575+5814	STF2438	176560	7.01		7.44		231.25	y		0.476	a		149		219.8		1882.73	y	
185814.75	172139.4	18582+1722	CHR  82Aa Ab	176155	5.44				1434	d	1	3.36	m	0.4	33	5	61.3	9	2003.29	y	0.04
185823.14	475012.9	18584+4750	BD+47 2730	176526	7.7				864	d	74	11.6	m	2.3	83	6	30	6	48843	d	198
185923.8	-125025.7	18594-1250	KUI  89	176162	5.98		6.64		82.76	y		0.224	a		29.5		33		1993.25	y	
185937.39	150406.5	18596+1504	eps Aql	176411	4.03				1270.6	d		12.8	m	0.44	87.5	6.6	58.7	3.9	41718.5	d	
190111.43	22858.3	19012+0229	GC 26129	176650	7.07				1350.0577	d	285.919	11.58	m	2.66	43.8	18.15	120.67	17.49	47773.9688	d	200.7037
190153.16	191011.7	19019+1910	STF2437	176972	8.41		8.83		804.6	y		0.91	a		131		114.9		2132.947	y	
190206.53	521542.3	19021+5216	HU  757BC	177483	10.3		10.4		115.9	y		0.234	a		115		84.6		1991.06	y	
190236.72	-295248.4	19026-2953	HDO 150AB	176687	3.27		3.48		21	y	0.01	0.489	a	0.001	111.1	0.1	74	0.1	2005.99	y	0.03
190239.41	430702.9	19027+4307	YSC  13	177412	8.3		9.2		11.937	y		0.094	a		44.4		41.4		2014.324	y	
190246.15	-4241.9	19027-0043	STF2434BC	176983	9.68		9.38		402.7	y		1.195	a		145.7		102.6		2007.6	y	
190252.64	-541229.5	19029-5413	I  1390	176353	9.64		9.2		47.36	y	0.8	0.198	a	0.012	56	4.2	241.2	7.8	2009.65	y	0.6
190329.68	-684519.9	19035-6845	FIN 357	175986	6.58		6.96		14.159	y	0.1	0.154	a	0.003	155.9	2	116	2	2018.474	y	0.05
190351.17	264138.1	19039+2642	A  2992	337446	10.15		9.58		99	y	4	0.256	a	0.022	114.5	4.5	125.9	6	1951.17	y	2
190358.43	-380402	19040-3804	I  1391	176891	9.91		9.71		47.38	y	0.22	0.178	a	0.003	35.8	1.3	271.3	5.2	2006.14	y	0.23
190420.28	-213153.7	19043-2132	H N 126	177166	7.87		8.06		500	y		1.61	a		126.5		64.7		1902	y	
190530.86	335221.5	19055+3352	HU  940		9.18		9.78		111.6	y	8	0.316	a	0.016	129.2	5	31.4	1.5	1939.8	y	1
190609.37	302618.8	19062+3026	STF2454AB	178091	8.34		9.72		559.46	y		1.421	a		65.2		145.1		1700.68	y	
190625.14	-370348.5	19064-3704	HJ 5084	177474	4.53		6.42		121.76	y		1.896	a		149.6		50.3		2000.64	y	
190656.22	413719.6	19069+4137	COU2197	178474	9.1		9.1		41.6	y		0.188	a		160		110		1979.51	y	
190656.44	-274011.3	19069-2740	tau Sgr	177716	3.32				69.2841	d	0.4803	8.88	m	1.28	62.53	20.4	128.1	10.13	48394.1094	d	5.0121
190658.6	110416.7	19070+1104	HEI 568	178125	5.44		6.39		205.16	y		0.399	a		134.3		94.5		2014.6	y	
190713.2	205237.3	19072+2053	LDS1017		10.95		10.99		360	c		117.9	a		153		206		8254	y	
190718.13	360600.6	19073+3606	STA   3	178475	5.28		6.4		216.93	y		0.172	a		145.5		171.4		1997.28	y	
190718.39	243133	19073+2432	A   262	178355	9.27		9.72		108.2	y		0.143	a		50.4		136.2		1959.1	y	
190743.2	323244.1	19074+3230	KUI  90Ca Cb		10.8		11.4		2110	d	2.5	0.2881	a	0.0005	77.3	0.2	85.1	0.1	50432.7	m	1.3
190816.19	270539.3	19083+2706	HO   98AB	178617	8.28		8.3		628	y	204	0.433	a	0.088	123	2.2	83.1	7	2022.21	y	10.37
190816.49	252229.8	19083+2522	SAO 86853	178593	7.48				896.8818	d	41.0142	16.26	m	1.88	59.91	4.28	146.95	6.26	48635.7344	d	16.295
190820.2	551950	19083+5520	D    19AB	179142	7.67		9.51		2858	y		2.95	a		100		190		1903	y	
190853.94	340344.1	19089+3404	COU1462Aa Ab		10.22		10.36		23.17	y		0.315	a		83.8		38.4		1993.93	y	
190904.35	343559.9	19091+3436	CHR  84Aa Ab	178911	6.89		8.96		1296.984	d	0.355	0.074	a	0.002	147.29	0.99	276.91	1.45	50574.953	m	1.302
190948.13	-194812.4	19098-1948	B   427	178555	7		7.1		2.68	y		0.129	a		45.6		45		1931.81	y	
191026.26	-581326.8	19105-5813	B  2468	178025	10.14		11.85		182.29	y		0.655	a		140		168.5		2013.45	y	
191036.61	542835.1	19106+5429	A  1391	234826	9.17		10.05		138.12	y	11	0.238	a	0.032	44.9	3.8	64.4	6.4	1981.135	y	0.87
191101.26	-72538.7	19110-0726	A    95	179002	7.4		7.95		109	y		0.239	a		129		114.5		1944.1	y	
191108.07	384649.3	19111+3847	SE    2BC	179484	8.31		9.4		62.79	y		0.379	a		113.4		271.5		1956.62	y	
191205.03	495120.7	19121+4951	STF2486AB	179958	6.54		6.67		3100	y		12.75	a		119.06		255.22		2520	y	
191211.15	-832900.2	19122-8329	CD-83  238	174930	7.27				636	d	16	12.8	m	1.4	145	10	34	83	48724	d	66
191213.55	25315.6	19121+0254	AST   1		11.29		13.11		2.4664	y		0.14795	a		131.5		178.8		1995.8646	y	
191225.18	-330343.4	19124-3304	OL   22	179058	8.36		9.51		125.83	y		0.392	a		37.7		209.2		1971.38	y	
191227.46	165102.2	19126+1651	BD+16 3774	179558	7.94				2561	d		33.9	m	3.8	135.5	5.4	126.9	6.1	41044.5	d	
191234.45	165047.2	19126+1651	BU  139AB	179588	7.11		7.95		587	y		0.552	a		95.4		136.4		2128.7	y	
191415.66	190350.3	19143+1904	STF2484	180054	7.93		9.51		2316	y		2.841	a		58.7		6.3		730.5	y	
191415.99	-84308.5	19143-0843	GC 26500	179799	6.55				703.6976	d	38.9773	6.68	m	0.84	50.25	12.82	27.7	20.93	48684.4805	d	34.6307
191532.4	-251523.8	19155-2515	B   430	179950	5.5		5.7		19.95	y	0.09	0.132	a	0.004	82.1	1	285.1	0.5	2014.98	y	0.41
191626.78	143240.6	19164+1433	CHR  85Aa Ab	180555	5.9		7.4		13.673	y	0.069	0.0583	a	0.0014	131.3	3.7	242.3	4.5	2008.572	y	1.101
191642.74	-455318	19167-4553	RST4036	179930	10.2		10.2		7.7	y		0.26	a		117		20		1995.3	y	
191653.09	631227	19169+6312	STF2509	181566	7.44		8.17		627	y		1.345	a		101.2		139.6		1737	y	
191712.25	-663939.8	19172-6640	GLE   3	179366	6.12		6.42		156.8	y	8	0.539	a	0.05	50.8	1	84.5	2	1950.69	y	0.5
191722.3	712049.7	19174+7121	BD+71  945	182189	7.08				1037	d	34	18.2	m	1	132	5	90	90	48870	d	223
191757.89	201133.7	19180+2012	COU 321	181025	8.92		8.92		354.12	y	20	0.484	a	0.02	101	2	142.2	3	2349.4	y	2
191859.06	-331641.8	19190-3317	I   253	180702	8.77		7.25		60	y		0.5101	a		92.15		138.2		1937.5	y	
191926.5	-13657.7	19194-0136	HDS2734Aa Ab	181148	10.97		11.37		41.19	y	5.46	0.321	a	0.018	30.4	7.2	27.8	39.7	2021.53	y	2.07
192007.47	263842.1	19201+2639	BD+26 3527	181602	7.35				208.8	d		3	m	0.5	9.8	20.9	250	4.9	43811.9	d	
192019.42	695457.2	19203+6955	NLTT 47736	182712	9.43				901	d	60	16.1	m	3.3	78	6	247	92	48525	d	298
192032.84	-52457.1	19205-0525	ISO  10Aa Ab	181391	5.01				266.5	d		9.15	m	0.54	75.2	8.6	129.7	6.7	33420.2	d	
192136.09	522234.9	19216+5223	BU 1129	182353	7.69		7.84		121.7	y		0.18	a		138.9		148		1974.9	y	
192143.62	-155718	19217-1557	ups Sgr	181615	4.58				137.9343	d		2.1	m	0.3	50	10	80	10	33018.1	d	
192209.28	-73512.6	19222-0735	A   102AB	181782	9.5		9.5		429	y	20	0.352	a	0.009	40	0.4	67.5	2	1992.26	y	0.13
192516.45	-243030.4	19253-2431	FIN 327	182369	5.8		5.8		5.72	y		0.069	a		97.3		259		1984.29	y	
192529.75	30652.5	19255+0307	BNU   6Aa Ab	182640	3.4				1251.3	d		55.69	m	0.79	150		337		34955.5	d	
192625.57	492748.9	19264+4928	YSC 134	183255	8.4		9.4		0.45677	y		25.7	m	1.2	141.2	9.2	29.1	10.3	1990.0465	y	
192633.71	271921.9	19266+2719	STF2525AB	183032	8.19		8.39		882.9	y		1.87	a		150.7		155.3		1887.72	y	
192812.26	-120840.7	19282-1209	SCJ  22	183063	8.12		8.69		165.3	y	6	1.004	a	0.015	18.8	5	172	2	1983.94	y	0.2
192841.77	343638.2	19287+3437	LTT 15689	183536	8.19				825.3107	d	25.7791	11.27	m	3.69	147.73	12	173.53	22.04	48024.8281	d	13.6953
192935.87	122415.7	19296+1224	A  1653	183512	8.18		9.5		229.1	y		0.211	a		171.5		65.8		2039.864	y	
192937.86	-123848.1	19296-1239	HU   75	183347	7.09		9.15		129.67	y	2.7	0.496	a	0.013	31.5	3.4	183.1	5.9	2009.47	y	0.29
193012.6	563840.1	19302+5639	A   712	184195	7.49		7.94		95.41	y		0.177	a		99		98.6		1972.92	y	
193043.29	275734.9	19307+2758	MCA  55Aa Ac	183912	3.37		5.16		213.859	y		0.536	a		154.9		170.4		1997.995	y	
193047.57	633704.3	19308+6337	HU  951		10.05		10.36		153.74	y		0.204	a		32.3		126.2		1967.84	y	
193108.54	583513.1	19311+5835	MCA  56	184467	7.02		8.4		494.16	d	0.58	0.0842	a	0.00084	144	1.29	256.9	2.66	46671.451	m	8.5
193116.38	472852.6	19313+4729	A   713	184242	7.5		7.93		64778	d	427	0.2919	a	0.0014	48.73	3.6	84.54	2.9	6	d	375
193137.8	174658.6	19316+1747	STF2536	231683	8.4		11.38		672.5	y		1.975	a		38.6		96.2		2079.33	y	
193336.43	384542.9	19336+3846	CHR  87	184603	7.19		7.68		47.16	y		0.14	a		59.5		166.1		2020.44	y	
193437.45	180741.2	19346+1808	STT 375	184591	7.72		8.88		682	y		0.521	a		24		177.7		2271.2	y	
193450.92	292746.5	19348+2928	WRH  32	184759	5.9		6.4		4.56	y		0.03	a		114.6		29.3		1985.56	y	
193501.71	232827.3	19350+2328	A   162	184739	8.73		8.77		182.4	y		0.285	a		64.1		100.5		1835.8	y	
193504.51	503738.7	19351+5038	HU  679	185082	8.8		9.75		103.4	y		0.315	a		37.3		28		1977.3	y	
193536.44	400139	19356+4002	A  1400	185036	8.2		9.9		159	y		0.303	a		38.1		135.1		2010.7	y	
193545.49	231614.2	19358+2316	A   163	344620	10.02		9.95		163.1	y		0.255	a		122.4		33		1986.3	y	
193855.76	351412.9	19389+3514	HU  953	185696	8.8		9.2		282.797	y		0.68	a		30.8		184.4		2002.84	y	
193905.98	762518	19391+7625	MLR 224	186922	8.67		9.35		11.929	y	0.003	189	m	2	80.2	0.2	293	0.6	1993.15	y	0.004
193922.6	300911.6	19394+3009	MCA  57	185734	4.7				434.171	d	0.015	26.9	m	0.75	80.8	0.63	251	0.86	28230.76	d	0.62
193926.31	221523.4	19394+2215	STF2556	185661	7.71		8.92		622.4	y		0.678	a		140.9		44.5		1970.31	y	
193949.46	-232539.4	19398-2326	SEE 389	185404	6.8		7.51		46.2	y	0.1	0.221	a	0.001	93.5	0.2	327.9	0.3	1976.63	y	0.6
194034.8	623953.4	19406+6240	STF2574	186453	7.73		8.91		685.13	y		1.302	a		78.9		107.6		2057.26	y	
194043.31	-3716.7	19407-0037	CHR  88Aa Ab	185762	5.9		7.6		20.56	y	0.14	0.0854	a	0.0024	150.8	7	185.7	12.6	1996.01	y	1.04
194105.53	134856.5	19411+1349	KUI  93	185936	6.69		6.75		65.17	y		0.163	a		67.5		164.3		2026.36	y	
194149.09	503131.6	19418+5032	STFA 46AB	186408	6		6.23		135.127	c		35.242	a		135.44		313.44		153.25	y	
194157.63	401514.6	19420+4015	KUI  94	186307	6.5		7.8		79	y		0.34	a		106		338		1981	y	
194303.27	-81826.6	19431-0818	GC 27279	186158	7.08				898.6192	d	38.1478	11.58	m	1.06	142.17	14.77	128.24	21.85	48482.9609	d	270.4615
194333.45	-152810.8	19436-1528	BUP 197A	186185	5.49				1297	d	206	17.3	m	2.1	33	10	222	122	48919	d	370
194458.44	450750.5	19450+4508	STF2579AB	186882	2.89		6.27		918.1	y		3.408	a		146.9		95.7		1884.5	y	
194533.52	333607	19464+3344	STF2576FG	186858	8.47		8.58		232	y		2.07	a		156		91		1945.3	y	
194545.24	270738.5	19458+2710	KUI  95AB		12.7		13.6		228	y		2.8	a		78		67		1961	y	
194706.75	-195250.4	19471-1953	BU  146	186752	8.61		9.52		260.15	y		1.565	a		70.7		228.4		2262.78	y	
194708.04	-80909.9	19471-0809	A   108	186847	8.74		9.24		230.4	y		0.289	a		48.8		51.6		1946	y	
194723.27	183203.3	19474+1832	BLA   6	187076	4.32		4.95		10.11	y		0.051	a		140		170.2		1979.93	y	
194723.94	-14828.8	19474-0148	A  2993	186949	9.06		9.09		138.36	y		0.22	a		116.1		327		1984.83	y	
194839.64	150332.4	19487+1504	A  1658	187283	8.3		8.74		88.1	y	1.3	0.224	a	0.001	169.8	5	51.5	40	1991.6	y	1.2
194843.81	351841.3	19487+3519	STT 387	187458	7.12		7.9		164.88	y	0.58	0.6432	a	0.0025	131.75	0.48	154.44	0.52	1870.5	y	1.2
194858.65	190831.1	19490+1909	AGC  11AB	187362	5.64		6.04		8487.9	d	4.9	0.13605	a	0.00044	132.33	0.41	340.97	0.68	44199.6	m	5.9
194907.25	-614853.2	19491-6149	I   120AB	186602	8.31		8.02		65.1	y		0.346	a		149		118		1997.3	y	
194937.33	-552527.5	19496-5525	I   658	186836	9.16		10.06		275	y		0.95	a		129		119.8		1880	y	
195114.13	-724742.2	19512-7248	HJ 5137A	186502	7.31				1051	d	67	8	m	1	61	8	44	96	48848	d	363
195201.89	-102113.5	19520-1021	BU  148AB	187774	7.74		8.41		783.31	y		1.365	a		120.5		38.1		2032.84	y	
195252.58	410449.3	19529+4105	SAO 48932	188307	7.73				512.0666	d	9.3499	10.36	m	1.17	142.04	9.43	188.44	15.1	48260.1406	d	21.0864
195306.39	-143611.1	19531-1436	CHR  90	187949	9.25		6.61		94.24	y	0.72	0.333	a	0.004	120.4	0.4	10.1	0.5	2000.45	y	0.7
195308.3	-252741.2	19531-2528	B   454	187858	8.71		8.87		47.21	y		0.196	a		78.8		153.8		2006.84	y	
195327.69	240446.6	19535+2405	DJU   4	188260	4.63		7.37		615.25	y	104.12	1.555	a	0.241	85.9	1.5	68.1	0.3	2027.82	y	94.79
195354.48	442453.3	19539+4425	MCY   3Aa Ab		13.5		16.8		15.22	y		0.8	a		135		80		1983.1	y	
195456.19	504911.9	19549+5049	HU  687	188871	8.54		8.63		142.1	y		0.141	a		24.6		172.2		1960.5	y	
195458.41	415215	19550+4152	HO  581	188753	8.03		8.72		25.7	y		0.27	a		34		43		1988.2	y	
195519.49	-64404.7	19553-0644	STF2597AB	188405	6.94		7.98		425	y	22	1.085	a	0.024	103.05	0.84	264.03	0.77	1974.28	y	0.23
195520.02	295920.6	19553+2959	BD+29 3805	332954	7.87				295.36	d		2.4	m	0.7	136.9	25.1	238.4	16.2	42770.7	d	
195537.82	522620.5	19556+5226	YR    2Aa Ab	189037	5.6		6.1		54.08	y		0.141	a		113		216.7		2016.9	y	
195553.36	250009.4	19559+2500	COU1037		9.8		10.7		39	y	0.4	0.157	a	0.01	99	3.5	155.7	4	2001.45	y	0.1
195719.48	51245.1	19573+0513	A   604	188914	9.06		9.85		228.15	y	17.63	0.291	a	0.016	108	1.2	94.7	1.9	1935.43	y	5.63
195756.12	421538.9	19579+4216	STT 392AB	189377	6.6		8.4		270.3	y		0.26	a		112.7		140.9		2027	y	
195802.8	45608.4	19580+0456	A   606	189044	9.52		9.33		144.937	y		0.37	a		41.63		154.81		1912.09	y	
195804.28	-480801.2	19581-4808	HDS2842	188581	8.61		10.78		32.04	y	7.08	0.273	a	0.031	74.1	0.9	254.7	7.9	2015.65	y	0.23
195832.66	331638.8	19585+3317	STF2606AB	189378	7.74		8.43		455	y		1.081	a		82.4		127.4		1745.7	y	
195910.58	230604.6	19592+2306	14 Vul	189410	5.68				284	d	7	5.9	m	3.7	91	8	194	94	48552	d	88
195947.49	-95726.2	19598-0957	HO  276	189340	6.22		7.83		4.895	y	0.0054	0.15	a	0.0027	6	20	147	3	1982.81	y	0.031
200014.72	-552225	20002-5522	B   459BC	188908	10.98		11.07		72.78	y		0.292	a		44.9		64.6		2044.56	y	
200112.74	-383512.7	20012-3835	HDO 294	189386	8.08		9.11		4484.5	y		4.916	a		40.86		116.65		1922.73	y	
200126.66	104454.8	20014+1045	STF2613AB	189783	7.48		8.02		2356	y		3.822	a		81.5		162		888	y	
200201.45	245616.8	20020+2456	STT 395	190004	5.83		6.19		1201	y		2.687	a		79		84.5		1863.7	y	
200300.77	281824.6	20030+2818	BD+27 3593	190228	7.31				1146	d	16	1.8	m	0.5	4.3	1.4	61	22.8	51236	d	25
200800.45	420339.4	20080+4204	A   383	227855	10.37		10.43		453	y		0.478	a		115		251		2318.9	y	
200808.89	-392929.6	20081-3929	RST2134	190759	10.49		10.9		98	y		0.163	a		180		119		1990	y	
200808.89	-392929.6	20081-3929	RST2134	190759	10.49		10.9		151.79	y		0.259	a		133.1		22.2		1977.23	y	
200856.8	620436	20089+6205	STF2652	191940	7.29		7.78		495	y		0.495	a		111.2		141.3		2185	y	
