Sixth Catalog of Orbits of Visual Binary Stars: Orbits																					
RA(2000).	DEC(2000)	WDS.......	DD............	HD....	V1.11	*	V2.22	*	PPPPP.PPPPPP	*	eee.eeeeee	AAA.AAAAA	*	ee.eeeee	III.IIII	eee.eeee	NNN.NNNN	eee.eeee	TTTTT.TTTTTT	*	eee.eeeeee
10816.36	545512.7	01083+5455	WCK   1Aa Ab	6582	5.3		10.7		21.753	y	0.069	1.009	a	0.016	106.8	0.9	47.3	1	1975.738	y	0.145
10823.08	-551444.7	01084-5515	RST1205AB	6882	4.02		6.8		210.37	y	61.4	0.804	a	0.132	61.9	3.7	33.5	9.3	2122.81	y	0.4
10851.8	-293721	01089-2937	I   262	6868	8.66		9.41		663.9	y		0.939	a		130.9		34.7		1398.89	y	
10922.09	-563542.4	01094-5636	HU 1342	6996	7.78		8.25		79.1	y		0.26	a		118.1		153.1		1967.7	y	
10930.12	471430.6	01095+4715	STT 515AB	6811	4.59		5.61		554	y	67	0.573	a	0.051	142.2	2.8	337.2	3.2	1907.45	y	5.03
11022.89	-672641.8	01104-6727	GKI   3		9.8		10.3		1.1449	y	0.00095	0.1288	a	0.0025	132.03	2.17	83.06	2.96	2014.5656	y	0.0196
11028.86	391643.6	01105+3917	COU1212		9.5		10.2		110	y		0.59	a		101		125		1998.51	y	
11034.31	510047.8	01106+5101	BU  235Aa Ab	6918	7.54		7.82		278	y		0.74	a		52.5		122.3		1810	y	
11050.36	674648.1	01108+6747	HDS 155	6840	7.22		7.68		7.3	y	0.11	0.087	a	0.002	54.7	1.5	151.6	1.3	1995.71	y	0.11
11114.56	411317.3	01112+4113	A   655	7018	8.35		9.36		153.09	y	4.78	0.338	a	0.007	53.1	0.8	157.5	1.1	2040.77	y	2.97
11253.87	513609	01129+5136	HDS 160	7169	7.5		9.8		46.56	y		0.192	a		66.2		27		2029.98	y	
11308.87	114057.6	01131+1141	SAO 92318	7275	7.86				833.3112	d	39.7531	15.06	m	1.47	116.69	5.05	113.31	6.45	48028.0195	d	13.4017
11308.9	294159.1	01131+2942	A  1260AB	7255	9.19		9.4		125.375	y	10.489	0.3568	a	0.0493	82.9	3.4	59.8	15	2013.12	y	7.435
11407.65	160800.8	01141+1608	87 Psc	7374	5.96				800.9	d		2.44	m	1	152.78	36.56	313.4	11.48	19264.1992	d	
11445.8	605619.9	01148+6056	BU 1100	7331	8.94		7.57		75	y		0.357	a		129		77.4		1947	y	
11445.8	605619.9	01148+6056	BU 1100	7331	8.94		7.57		171.49	y		0.506	a		110.7		210.7		1950.92	y	
11500.32	-684908.7	01158-6853	I    27CD	7693	7.84		8.44		85.2	y		1.14	a		35		142		1919	y	
11531.26	374436.6	01155+3745	BD+36  212	7483	8.87				701.42	d		7	m	1.5	149.1	11.4	222.8	5.8	51791.1	d	
11545.5	-685234.5	01158-6853	HJ 3423AB	7788	5		7.74		857	y		5.96	a		127.1		10.3		1763.5	y	
11546.78	94705.3	01158+0947	A  2102	7564	7.36		9.89		162	y	13	0.607	a	0.035	101.7	1	151.2	2.1	2101	y	13
11636.28	183121.4	01166+1831	HDS 169A	7640	8.61				274.56	d		3.1	m	1.2	123.1	12.4	252.5	8.3	46253	d	
11636.28	183121.4	01166+1831	HDS 169	7640	8.61		12.2		143.73	y		0.767	a		118.3		102.7		2115.16	y	
11937.1	-51931.3	01196-0520	A   313	8032	8.97		9.71		128.51	y	2.24	0.274	a	0.004	133.7	0.9	171.5	2.4	2014.72	y	1.42
11948.29	-3032.4	01198-0031	STF 113A BC	8036	6.45		6.99		650	y		1.324	a		43.5		87.2		1686	y	
11948.29	-3032.4	01198-0031	FIN 337BC	8036	7.4		7.6		27.028	y	0.09	0.10855	a	0.00071	16.8	2.8	194	17	1995.04	y	0.13
11957.74	-154850.8	01200-1549	HJ 2036	8071	7.4		7.61		1443.343	y	37.617	3.4307	a	0.2653	114.06	2.9	124.78	1.6	2674.911	y	18.428
12030.06	-195656.4	01205-1957	TOK 203	8129	7.59		10		7.272	y	3.693	46	m	34	137	18	195	88	1994.999	y	3.57
12030.06	-195656.4	01205-1957	TOK 203	8129	7.59		10		8.928	y	6.056	55	m	41	128	14	135	84	1996.713	y	5.922
12103.5	515901.2	01212+5159	NLTT 4450	8054	7.62				847.7	d		4.8	m	0.8	113.2	6.5	61.9	3.7	47758.9	d	
12119.23	113212.3	01213+1132	BU    4AB	8187	7.12		8.86		291.05	y		0.43	a		141		149.8		1942.93	y	
12146.64	-240741	01218-2408	SEE  13	8281	8.89		9.29		1530.34	y		2.021	a		67.2		207		1846.51	y	
