Simbad-Resolvable Name,Source (Original),Alternative Names,Star Forming Region,SFR Age (Myr),COORDS,Disk Type,Reference,Epoch,Effective Temperature K,Temp err,Sp Type,Sp Type Err,J Magnitude,K Magnitude,R Magnitude,Method,Wavelength Range,Instrument,Tracer,Accretion Diagnostic,Line Flux erg/s/cm^2,Object Luminosity L_solar,Object Luminosity Error,Object Radius from L and T,R_err from L and T,Object Radius R_solar,R_err,New Radius,Accretion Rate M_solar yr-1,Log Accretion Rate,Object Mass Range M_solar,Object Mass M_Solar,Object Mass Err,New Mass,log object mass,Accretion Luminosity (CGS),Log Accretion Luminosity (solar),Age range Myr,System Age Myr,Companion?,A_V,A_V err,A_V source,A_J,Upper Limit,Notes/Questions2,Notes/Questions3,Distance
2MASS J16255052-2439145,ISO-Oph 005,,p Oph,,246.46052063 -24.65404667,III,Natta 2006,2004 Spring,3890.45145,,,,9.98,8.33,13.83,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,,,,,,,,1.38E-09,-8.86,,5.50E-01,,,-0.26,,-2.01,,1,,,,,1.4,upper limit,,,142.1161089
2MASS J16255615-2420481,ISO-Oph 006,,p Oph,,246.48402479 -24.34673313,II,Natta 2006,2004 Spring,3890.45145,,,,9.15,7.52,11.7,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.661,,1.79,,,,,1.82E-07,-6.74,,5.25E-01,,,-0.28,,0.1,,1,,,,,0.5,,,,134.5967481
2MASS J16260137-2425203,ISO-Oph 009,,p Oph,,246.50569307 -24.42248331,II,Natta 2006,2004 Spring,2818.38293,,,,14.43,11.25,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.085,,1.23,,,,,5.75E-11,-10.24,,9.33E-02,,,-1.03,,-3.8,,1,,,,,2.8,upper limit,,,
2MASS J16260329-2417464,ISO-Oph 011,,p Oph,,246.51374354 -24.2962612,III,Natta 2006,2004 Spring,3467.3685,,,,10.67,9.12,14.86,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,,,,,,,,1.20E-09,-8.92,,3.24E-01,,,-0.49,,-2.22,,1,,,,,1.2,upper limit,,,
2MASS J16260457-2417514,ISO-Oph 012,,p Oph,,246.519074 -24.297634,II,Natta 2006,2004 Spring,2818.38293,,,,15.79,12.19,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.089,,1.26,,,,,2.82E-11,-10.55,,9.55E-02,,,-1.02,,-4.11,,1,,,,,4.2,upper limit,,,
2MASS J16260704-2427241,ISO-Oph 013,,p Oph,,246.529345 -24.456718,II,Natta 2006,2004 Spring,3235.93657,,,,15.35,10.64,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.417,,2.06,,,,,2.95E-09,-8.53,,2.40E-01,,,-0.62,,-1.9,,1,,,,,5.2,,,,
2MASS J16260763-2427413,ISO-Oph 014,,p Oph,,246.531832 -24.461491,III,Natta 2006,2004 Spring,3630.78055,,,,14.68,10.41,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,,,,,,,,8.51E-10,-9.07,,3.98E-01,,,-0.4,,-2.31,,1,,,,,5.4,upper limit,,,
2MASS J16260931-2434121,ISO-Oph 016,,p Oph,,246.53884634 -24.57004911,III,Natta 2006,2004 Spring,,,,,7.74,6.5,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,,,,,,,,,,,1.00E+00,,,,,,,1,,,,,,,,,141.681189
2MASS J16261033-2420548,ISO-Oph 017,,p Oph,,246.543048 -24.348562,II,Natta 2006,2004 Spring,4073.80278,,,,14.37,8.48,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,2.138,,2.94,,,,,3.31E-09,-8.48,,6.46E-01,,,-0.19,,-1.58,,1,,,,,5.8,upper limit,,,
2MASS J16261581-2419221,ISO-Oph 018,,p Oph,,246.56590881 -24.32293085,III,Natta 2006,2004 Spring,3630.78055,,,,14.03,10.03,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,,,,,,,,8.71E-10,-9.06,,3.98E-01,,,-0.4,,-2.29,,1,,,,,4.8,upper limit,,,
2MASS J16261684-2422231,ISO-Oph 019,,p Oph,,246.57024352 -24.37309837,II,Natta 2006,2004 Spring,4365.15832,,,,11.03,8.2,17.4,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,3.467,,3.26,,,,,5.89E-09,-8.23,,8.71E-01,,,-0.06,,-1.26,,1,,,,,3.1,upper limit,,,138.1788034
2MASS J16261706-2420216,ISO-Oph 020,,p Oph,,246.57114482 -24.33933182,II,Natta 2006,2004 Spring,3801.89396,,,,9.65,8.06,14.02,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,1.259,,2.59,,,,,3.47E-09,-8.46,,4.68E-01,,,-0.33,,-1.65,,1,,,,,0.8,,,,134.2732461
2MASS J16261886-2428196,ISO-Oph 024,,p Oph,,246.57865951 -24.47213835,II,Natta 2006,2004 Spring,3890.45145,,,,12.58,8.07,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,1.514,,2.72,,,,,6.46E-08,-7.19,,5.25E-01,,,-0.28,,-0.35,,1,,,,,3.7,,,,138.4217156
2MASS J16261898-2424142,ISO-Oph 026,,p Oph,,246.579093 -24.403961,II,Natta 2006,2004 Spring,3311.31121,,,,16.14,11.94,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.468,,2.08,,,,,3.89E-09,-8.41,,2.57E-01,,,-0.59,,-1.76,,1,,,,,1,,,,
2MASS J16262101-2415414,ISO-Oph 028,,p Oph,,246.58762019 -24.26152426,III,Natta 2006,2004 Spring,4168.69383,,,,12.78,9.27,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,,,,,,,,2.63E-09,-8.58,,7.24E-01,,,-0.14,,-1.66,,1,,,,,4.5,upper limit,,,1357.404642
2MASS J16262152-2426009,ISO-Oph 030,GY 5,p Oph,,246.58974557 -24.43361126,II,Natta 2006,2004 Spring,2754.2287,,,,12.57,10.92,18.3,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.06,,1.08,,,,0.37,3.16E-11,-10.5,,7.59E-02,,0.058417,-1.12,,-4.09,,1,,,,,0.7,,,,137
ISO-Oph 032,ISO-Oph 032,,p Oph,,246.59128482 -24.74436689,II,Manara 2015,2010,2935,50,M6.5,,12.34,10.86,17.95,R 4350-6450 spectroscopy,302 - 2500 nm,X-Shooter,Line Strength,Various Line Intensity,,0.033,,0.7,,0.7,0.03,0.54,3.24E-11,-10.49,,7.00E-02,0.1,0.047607,-1.15490196,,-4.09,,1,,,,,,,,,151.2584705
ISO-Oph 035,ISO-Oph 035,,p Oph,,246.595649 -24.479486,II,Natta 2006,2004 Spring,2818.38293,,,,14.93,11.53,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.076,,1.16,,,,,,,,8.71E-02,,,-1.06,,,,1,,,,,3.2,,,,
ISO-Oph 036,ISO-Oph 036,,p Oph,,246.59737289 -24.34988351,II,Natta 2006,2004 Spring,4570.8819,,,,8.97,6.57,14.33,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,6.08E+29,5.37,,3.71,,,,,6.17E-09,-8.21,,1.12E+00,,,0.05,,-1.17,,1,,,,,1.5,,,,137.8587775
ISO-Oph 037,ISO-Oph 037,,p Oph,,246.598249 -24.410971,II,Gatti 2006,May 19 20 2005,4350,,K5,4,15.05,10.22,,".06"" spectra 750 - 860 R spectra",8 - 2.4 um,ISAAC/ESO-VLT UT1 telescope,Line Width,EW PaB  & BrG,,0.16,,0.71,,,,,2.45E-10,-9.61,,7.00E-01,,,-0.15490196,,,.1-1,3,,,,,,,,,
ISO-Oph 037,ISO-Oph 037,,p Oph,,246.598249 -24.410971,II,Manara 2015,2010,4060,50,K7,,15.05,10.22,,R 4350-6450 spectroscopy,304 - 2500 nm,X-Shooter,Line Strength,Various Line Intensity,,0.415,,1.31,,1.31,0.21,,3.24E-09,-8.49,,1.02E+00,0.1,,0.008600172,,-1.2,,1,,,,,,,,,
ISO-Oph 037,ISO-Oph 037,,p Oph,,246.598249 -24.410971,II,Natta 2006,2004 Spring,2884.0315,,,,15.05,10.22,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,1.01E+29,0.151,,1.56,,,,,1.95E-09,-8.71,,1.32E-01,,,-0.88,,-2.22,,1,,,,,3.9,,,,
ISO-Oph 038,ISO-Oph 038,,p Oph,,246.59871301 -24.72052409,II,Natta 2006,2004 Spring,3801.89396,,,,9.39,7.85,12.65,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,7.32E+28,1.349,,2.68,,,,,5.75E-10,-9.24,,4.90E-01,,,-0.31,,-2.42,,1,,,,,0.6,upper limit,,,138.4638817
ISO-Oph 039,ISO-Oph 039,,p Oph,,246.60021719 -24.41336253,II,Natta 2006,2004 Spring,4786.30092,,,,11.12,7.32,17.81,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,5.68E+29,7.244,,3.93,,,,,5.13E-09,-8.29,,1.35E+00,,,0.13,,-1.2,,1,,,,,3.9,upper limit,,,137.8682806
ISO-Oph 040,ISO-Oph 040,,p Oph,,246.60037336 -24.27040463,II,Natta 2006,2004 Spring,4265.79519,,K6,,10,6.69,15.81,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,7.32E+30,3.388,,3.38,,,,,2.14E-07,-6.67,,8.51E-01,,,-0.07,,0.3,,1,,,,,2,,,,136.2230789
ISO-Oph 041,ISO-Oph 041,,p Oph,,246.605345 -24.412502,II,Natta 2006,2004 Spring,2884.0315,,,,16.28,11.07,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,1.21E+28,0.182,,1.71,,,,,1.05E-10,-9.98,,1.48E-01,,,-0.83,,-3.48,,1,,,,,5.3,upper limit,,,
ISO-Oph 043,ISO-Oph 043,,p Oph,,246.614743 -24.698202,II,Natta 2006,2004 Spring,3548.13389,,,,14.04,9.98,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,1.56E+29,0.813,,2.39,,,,,1.95E-09,-8.71,,3.63E-01,,,-0.44,,-1.97,,1,,,,,4.6,upper limit,,,
ISO-Oph 044,ISO-Oph 044,,p Oph,,246.618653 -24.261435,III,Natta 2006,2004 Spring,3311.31121,,,,15.31,10.78,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,7.15E+28,0.513,,2.18,,,,,8.13E-10,-9.09,,2.75E-01,,,-0.56,,-2.43,,1,,,,,5.4,upper limit,,,
ISO-Oph 046,ISO-Oph 046,,p Oph,,246.626954 -24.38254,III,Natta 2006,2004 Spring,3311.31121,,,,16.31,9.98,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,1.64E+30,0.501,,2.16,,,,,5.75E-08,-7.24,,2.69E-01,,,-0.57,,-0.58,,1,,,,,6.3,,,,
ISO-Oph 047,ISO-Oph 047,,p Oph,,246.62932 -24.518118,II,Natta 2006,2004 Spring,3162.27766,,,,14.96,10.86,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,7.49E+28,0.324,,1.9,,,,,1.17E-08,-7.93,,2.09E-01,,,-0.68,,-1.34,,1,,,,,4.6,upper limit,,,
ISO-Oph 051,ISO-Oph 051,,p Oph,,246.65347787 -24.26440227,II,Natta 2006,2004 Spring,3019.95172,,,,12.66,9.59,17.37,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,2.06E+28,0.245,,1.81,,,,,1.95E-10,-9.71,,1.78E-01,,,-0.75,,-3.16,,1,,,,,2.1,upper limit,,,136.1099769
ISO-Oph 052,ISO-Oph 052,,p Oph,,246.657445 -24.383541,II,Natta 2006,2004 Spring,2884.0315,,,,15.74,11.11,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,1.84E+29,0.138,,1.49,,,,,4.37E-09,-8.36,,1.26E-01,,,-0.9,,-1.88,,1,,,,,4.5,,,,
ISO-Oph 053,ISO-Oph 053,,p Oph,,246.661682 -24.389648,II,Natta 2006,2004 Spring,2884.0315,,,,15.03,11.57,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,9.87E+27,0.145,,1.53,,,,,8.13E-11,-10.09,,1.29E-01,,,-0.89,,-3.61,,1,,,,,4.2,upper limit,,,
ISO-Oph 056,ISO-Oph 056,,p Oph,,246.67198282 -24.67162593,II,Natta 2006,2004 Spring,3235.93657,,,,10.77,9.27,15.41,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,4.02E+28,0.398,,2.01,,,,,4.07E-10,-9.39,,2.34E-01,,,-0.63,,-2.77,,1,,,,,0.8,upper limit,,,167.7233236
ISO-Oph 059,ISO-Oph 059,,p Oph,,246.675597 -24.517485,II,Natta 2006,2004 Spring,3162.27766,,,,17.03,11.53,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,3.34E+29,3.388,,6.15,,,,,7.41E-09,-8.13,,2.09E-01,,,-0.68,,-1.54,,1,,,,,4.6,upper limit,,,
ISO-Oph 062,ISO-Oph 062,,p Oph,,246.678559 -24.341628,II,Natta 2006,2004 Spring,4265.79519,,,,10.5,7.88,16.29,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,8.02E+29,3.388,,3.38,,,,,1.05E-08,-7.98,,8.51E-01,,,-0.07,,-1.01,,1,,,,,2.5,,,,131.1269046
ISO-Oph 063,ISO-Oph 063,,p Oph,,246.67872 -24.383078,II,Natta 2006,2004 Spring,2884.0315,,,,15.33,11.44,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,1.21E+28,0.158,,1.6,,,,,1.10E-10,-9.96,,1.35E-01,,,-0.87,,-3.47,,1,,,,,4.3,upper limit,,,
ISO-Oph 064,ISO-Oph 064,,p Oph,,246.68235578 -24.27591307,III,Natta 2006,2004 Spring,3630.78055,,,,12.99,9.6,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,1.33E+29,1,,2.53,,,,,1.45E-09,-8.84,,4.17E-01,,,-0.38,,-2.07,,1,,,,,3.8,upper limit,,,150.6795648
ISO-Oph 066,ISO-Oph 066,,p Oph,,246.68458901 -24.7205731,III,Natta 2006,2004 Spring,3090.29543,,,,10.99,9.57,15.15,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,5.18E+28,0.309,,1.94,,,,,6.31E-10,-9.2,,2.04E-01,,,-0.69,,-2.62,,1,,,,,0.7,upper limit,,,140.1188208
ISO-Oph 067,ISO-Oph 067,,p Oph,,246.68763398 -24.38550244,II,Natta 2006,2004 Spring,3715.35229,,,,13.25,8.96,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,2.26E+30,1.23,,2.68,,,,,6.31E-08,-7.2,,4.68E-01,,,-0.33,,-0.4,,1,,,,,4.2,,,,115.8775406
YLW 37,ISO-Oph 068,,p Oph,,246.6917 -24.2,II,Natta 2006,2004 Spring,4073.80278,,,,9.68,7.49,13.9,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,2.48E+29,2.344,,3.08,,,,,2.45E-09,-8.61,,6.76E-01,,,-0.17,,-1.7,,1,,,,,1.4,,,,109.5362236
ISO-Oph 069,ISO-Oph 069,,p Oph,,246.69606222 -24.74160661,III,Natta 2006,2004 Spring,2884.0315,,,,12.33,10.56,17.41,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,1.30E+28,0.148,,1.54,,,,,1.20E-10,-9.92,,1.29E-01,,,-0.89,,-3.44,,1,,,,,1.3,upper limit,,,145.6239988
ISO-Oph 072,ISO-Oph 072,,p Oph,,246.70408391 -24.64031962,II,Manara 2015,2010,3340,50,M3.5,,13.5,9.98,19.33,R 4350-6450 spectroscopy,305 - 2500 nm,X-Shooter,Line Strength,Various Line Intensity,,0.106,,0.98,,0.97,0.04,,4.37E-09,-8.36,,3.00E-01,0.1,,-0.522878745,,-1.47,,1,,,,,,,,,132.5697317
ISO-Oph 072,ISO-Oph 072,,p Oph,,246.7042 -24.6403,II,Natta 2006,2004 Spring,2884.0315,,,,13.5,9.98,19.33,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,1.24E+30,0.155,,1.58,,,,,5.89E-08,-7.23,,1.35E-01,,,-0.87,,-0.74,,1,,,,,2.5,,,,132.5697317
ISO-Oph 073,ISO-Oph 073,,p Oph,,246.70513924 -24.33428029,III,Natta 2006,2004 Spring,4265.79519,,,,12.2,8.69,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,2.26E+29,3.388,,3.38,,,,,1.91E-09,-8.72,,8.51E-01,,,-0.07,,-1.75,,1,,,,,4.2,upper limit,,,
ISO-Oph 074,ISO-Oph 074,,p Oph,,246.71296227 -24.34743136,III,Natta 2006,2004 Spring,,,,,13.81,10.21,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
ISO-Oph 075,ISO-Oph 075,,p Oph,,246.716546 -24.510971,II,Natta 2006,2004 Spring,2951.20923,,,,21.3,13.46,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,3.34E+29,0.204,,1.73,,,,,1.20E-07,-6.92,,1.59E-01,,,-0.8,,-0.4,,1,,,,,10.4,upper limit,,,
ISO-Oph 076,ISO-Oph 076,,p Oph,,246.722789 -24.543402,II,Natta 2006,2004 Spring,3162.27766,,,,21.83,13.12,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,3.34E+29,0.331,,1.92,,,,,1.20E-07,-6.92,,2.14E-01,,,-0.67,,-0.32,,1,,,,,10.7,upper limit,,,
ISO-Oph 078,ISO-Oph 078,,p Oph,,246.726849 -24.439089,II,Natta 2006,2004 Spring,3715.35229,,,,14.7,10.01,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,7.84E+28,1.047,,2.48,,,,,6.92E-10,-9.16,,4.27E-01,,,-0.37,,-2.37,,1,,,,,5.5,upper limit,,,
ISO-Oph 083,ISO-Oph 083,,p Oph,,246.73660035 -24.23098416,II,Gatti 2006,May 19 20 2005,3900,,K9,0.5,12.26,9.25,18.46,".06"" spectra 750 - 860 R spectra",3 - 2.4 um,ISAAC/ESO-VLT UT1 telescope,Line Width,EW PaB  & BrG,,0.871,,2.05,,,,,4.57E-09,-8.34,,4.00E-01,,,-0.397940009,,,.1-1,3,,,,,,,,,133.8956953
ISO-Oph 083,ISO-Oph 083,,p Oph,,246.73660035 -24.23098416,II,Natta 2006,2004 Spring,3630.78055,,K7,,12.26,9.25,18.46,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,7.49E+29,0.871,,2.37,,,,,1.62E-08,-7.79,,3.80E-01,,,-0.42,,-1.04,,1,,,,,3,,Added spectral type (Wilking 2005),,133.8956953
ISO-Oph 084,ISO-Oph 084,,p Oph,,246.738875 -24.594112,II,Natta 2006,2004 Spring,2818.38293,,,,19.2,12.81,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.102,,1.35,,,,,,,,1.05E-01,,,-0.98,,,,1,,,,,7.1,,,,
ISO-Oph 085,ISO-Oph 085,,p Oph,,246.742828 -24.628044,II,Natta 2006,2004 Spring,3162.27766,,,,,14.41,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.331,,1.92,,,,,,,,,,,,,,,1,,,,,-1,,,,
ISO-Oph 086,ISO-Oph 086,,p Oph,,246.743317 -24.358328,II,Natta 2006,2004 Spring,2951.20923,,,,16.01,11.46,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,3.34E+28,0.191,,1.67,,,,,4.07E-10,-9.39,,1.51E-01,,,-0.82,,-2.88,,1,,,,,5.1,upper limit,,,
ISO-Oph 087,ISO-Oph 087,,p Oph,,246.744329 -24.309629,II,Manara 2015,2010,3200,50,M4.5,,15.45,11.48,,R 4350-6450 spectroscopy,306 - 2500 nm,X-Shooter,Line Strength,Various Line Intensity,,0.109,,1.08,,1.08,0.05,,1.20E-09,-8.92,,2.20E-01,0.1,,-0.657577319,,-2.21,,1,,,,,,upper limit,,,
ISO-Oph 087,ISO-Oph 087,,p Oph,,246.744329 -24.309629,II,Natta 2006,2004 Spring,2818.38293,,,,15.45,11.48,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,4.62E+28,0.081,,1.2,,,,,7.41E-10,-9.13,,9.12E-02,,,-1.04,,-2.69,,1,,,,,3.7,,,,
EM* SR 24A,ISO-Oph 088a,,p Oph,,246.7458 -24.7603,II,Natta 2006,2004 Spring,4168.69383,,,,9.75,7.06,14.15,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,4.62E+30,2.512,,3.05,,,,,1.26E-07,-6.9,,7.24E-01,,,-0.14,,0.03,,1,companion,,,,1.5,,K2:e+M0.5e spectral types according to simbad (cohen 1979),,
EM* SR 24B,ISO-Oph 088b,,p Oph,,246.7417 -24.7589,II,Natta 2006,2004 Spring,4168.69383,,,,10.37,7.55,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,2.98E+30,2.455,,3.01,,,,,7.08E-08,-7.15,,7.08E-01,,,-0.15,,-0.23,,1,companion,,,,2.1,,,,
ISO-Oph 089,ISO-Oph 089,,p Oph,,246.746041 -24.599133,II,Natta 2006,2004 Spring,2884.0315,,,,16.05,11.82,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,1.36E+28,0.117,,1.38,,,,,1.32E-10,-9.88,,1.15E-01,,,-0.94,,-3.42,,1,,,,,4.7,upper limit,,,
ISO-Oph 091,ISO-Oph 091,,p Oph,,246.756744 -24.360289,III,Natta 2006,2004 Spring,4265.79519,,,,14.25,9.39,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,3.09,,3.23,,,,,,,,8.13E-01,,,-0.09,,,,1,,,,,6.1,,,,
ISO-Oph 092,ISO-Oph 092,,p Oph,,246.75973 -24.624231,II,Natta 2006,2004 Spring,4466.83592,,A0-F3,,14.16,8.06,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,6.23E+30,4.571,,3.58,,,,,1.58E-07,-6.8,,1.02E+00,,,0.01,,0.21,,1,,,,,6.3,,Added SIMBAD spectral type (Connelley 2010),,
ISO-Oph 093,ISO-Oph 093,,p Oph,,246.76253 -24.437416,II,Natta 2006,2004 Spring,3388.44156,,,,,12.57,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,3.34E+29,0.575,,2.21,,,,,3.89E-08,-7.41,,2.95E-01,,,-0.53,,-0.73,,1,,,,,10.6,upper limit,,,
ISO-Oph 094,ISO-Oph 094,,p Oph,,246.764962 -24.334846,II,Manara 2015,2010,3600,235,M1.5,,17.24,13.56,,R 4350-6450 spectroscopy,307 - 2500 nm,X-Shooter,Line Strength,Various Line Intensity,,0.009,,0.24,,0.25,0.06,0.4,4.79E-12,-11.32,,4.00E-01,0.1,0.397987,-0.397940009,,-3.71,,1,,,,,,,,,
ISO-Oph 095,ISO-Oph 095,,p Oph,,246.767112 -24.474976,II,Natta 2006,2004 Spring,3467.3685,,,,16.9,10.86,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,8.21E+28,0.708,,2.34,,,,,8.71E-10,-9.06,,3.31E-01,,,-0.48,,-2.35,,1,,,,,7.2,upper limit,,,
ISO-Oph 098,ISO-Oph 098,,p Oph,,246.769061 -24.454351,II,Natta 2006,2004 Spring,3467.3685,,,,16.48,11.22,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,9.21E+28,0.676,,2.28,,,,,1.00E-09,-9,,3.24E-01,,,-0.49,,-2.29,,1,,,,,6.8,upper limit,,,
ISO-Oph 102,ISO-Oph 102,,p Oph,,246.77746863 -24.69691214,II,Manara 2015,2010,3125,50,M5,,12.43,10.77,17.57,R 4350-6450 spectroscopy,308 - 2500 nm,X-Shooter,Line Strength,Various Line Intensity,,0.046,,0.73,,0.74,0.02,0.4,1.05E-10,-9.98,,1.50E-01,0.1,0.058417,-0.823908741,,-3.27,,1,,,,,,,,,142.1221682
ISO-Oph 102,ISO-Oph 102,,p Oph,,246.77746863 -24.69691214,II,Natta 2006,2004 Spring,2754.2287,,,,12.43,10.77,17.57,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,2.91E+28,0.06,,1.08,,,,0.4,4.27E-10,-9.37,,7.59E-02,,0.058417,-1.12,,-2.96,,1,,,,,0.6,,,,142.1221682
ISO-Oph 103,ISO-Oph 103,,p Oph,,246.778234 -24.637499,II,Natta 2006,2004 Spring,4570.8819,,,,18.9,10.97,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,5.129,,3.62,,,,,,,,1.10E+00,,,0.04,,,,1,,,,,11.6,,,,
ISO-Oph 105,ISO-Oph 105,,p Oph,,246.78795263 -24.56896969,II,Gatti 2006,May 19 20 2005,3900,,K9,1,12.55,8.92,,".06"" spectra 750 - 860 R spectra",1 - 2.4 um,ISAAC/ESO-VLT UT1 telescope,Line Width,EW PaB  & BrG,,1.5,,2.69,,,,,9.33E-09,-8.03,,3.50E-01,,,-0.455931956,,,.1-1,3,,,,,,,,,130.6984525
ISO-Oph 105,ISO-Oph 105,,p Oph,,246.78795263 -24.56896969,II,Natta 2006,2004 Spring,3981.07171,,,,12.55,8.92,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,5.81E+29,1.95,,2.94,,,,,8.51E-09,-8.07,,6.17E-01,,,-0.21,,-1.19,,1,,,,,4,,,,130.6984525
ISO-Oph 106,ISO-Oph 106,,p Oph,,246.78783062 -24.20022577,II,Natta 2006,2004 Spring,3162.27766,,M2.5,,12.41,9.8,18.47,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,7.49E+28,0.363,,2.01,,,,,9.77E-10,-9.01,,2.24E-01,,,-0.65,,-2.4,,1,,,,,2.3,upper limit,Added SIMBAD spectral type (Wilking 2005),,141.2688771
ISO-Oph 107,ISO-Oph 107,,p Oph,,246.788972 -24.672897,II,Natta 2006,2004 Spring,3311.31121,,,,17.41,11.3,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.501,,2.16,,,,,,,,2.75E-01,,,-0.56,,,,1,,,,,7,,,,
ISO-Oph 108,ISO-Oph 108,,p Oph,,246.789293 -24.621881,II,Natta 2006,2004 Spring,5754.39937,,,,16.79,7.14,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,3.34E+29,,,,,,,,1.45E-06,-5.84,,3.02E+00,,,0.48,,1.46,,1,,,,,10.5,,,,
